dgrpline,stage,rep,n,alive,s_male,s_female,dead,prop_alive,f_male,f_female
149,L,1,20,0,,,20,0,0,0
149,L,2,20,4,,,16,0.2,2,2
149,L,3,20,6,,,14,0.3,3,3
149,L,4,20,5,,,15,0.25,2,3
149,L,5,20,9,,,11,0.45,4,5
208,L,1,20,0,,,20,0,0,0
208,L,2,20,1,,,19,0.05,1,0
208,L,3,20,1,,,19,0.05,0,1
208,L,4,20,5,,,15,0.25,5,0
301,L,1,20,0,,,20,0,0,0
301,L,2,20,8,,,12,0.4,4,4
301,L,3,20,1,,,19,0.05,0,1
301,L,4,20,7,,,13,0.35,1,6
301,L,5,20,6,,,14,0.3,6,0
303,L,1,20,1,,,19,0.05,1,0
303,L,2,20,5,,,15,0.25,3,2
303,L,3,20,6,,,14,0.3,1,5
303,L,4,20,11,,,9,0.55,6,5
303,L,5,20,8,,,12,0.4,4,4
304,L,1,20,0,,,20,0,0,0
304,L,2,20,6,,,14,0.3,5,1
304,L,4,20,3,,,17,0.15,1,2
304,L,5,20,4,,,16,0.2,2,2
307,L,1,20,0,,,20,0,0,0
307,L,2,20,0,,,20,0,0,0
307,L,3,20,2,,,18,0.1,1,1
307,L,4,20,0,,,20,0,0,0
307,L,5,20,0,,,20,0,0,0
313,L,1,0,0,,,-,0,0,0
313,L,3,2,0,,,2,0,0,0
313,L,4,2,0,,,2,0,0,0
315,L,1,20,0,,,20,0,0,0
315,L,2,20,8,,,12,0.4,5,3
315,L,3,20,10,,,10,0.5,6,4
315,L,4,20,10,,,10,0.5,5,5
315,L,5,20,2,,,18,0.1,1,1
335,L,1,9,1,,,8,0.111111111,1,0
335,L,2,20,2,,,18,0.1,2,0
335,L,3,20,2,,,18,0.1,1,1
335,L,4,20,7,,,13,0.35,4,3
335,L,5,20,0,,,20,0,0,0
356,L,1,20,0,,,20,0,0,0
356,L,2,20,6,,,14,0.3,4,2
356,L,3,20,3,,,17,0.15,3,0
356,L,4,20,4,,,16,0.2,4,0
356,L,5,20,8,,,12,0.4,6,2
357,L,1,20,4,,,16,0.2,2,2
357,L,2,20,14,,,6,0.7,9,5
357,L,3,20,13,,,7,0.65,8,5
357,L,4,20,14,,,6,0.7,5,9
357,L,5,20,8,,,12,0.4,3,5
358,L,1,20,1,,,19,0.05,0,1
358,L,2,20,0,,,20,0,0,0
358,L,3,20,0,,,20,0,0,0
358,L,4,20,0,,,20,0,0,0
358,L,5,20,0,,,20,0,0,0
360,L,1,20,4,,,16,0.2,0,4
360,L,2,20,8,,,12,0.4,6,2
360,L,3,20,17,,,3,0.85,7,10
360,L,4,20,17,,,3,0.85,7,10
360,L,5,20,15,,,5,0.75,5,10
362,L,2,20,13,,,7,0.65,5,8
362,L,3,20,7,,,13,0.35,2,5
362,L,4,20,13,,,7,0.65,5,8
362,L,5,20,7,,,13,0.35,2,5
365,L,1,20,1,,,19,0.05,1,0
365,L,2,20,9,,,11,0.45,6,3
365,L,3,20,7,,,13,0.35,6,1
365,L,4,20,12,,,8,0.6,5,7
365,L,5,20,6,,,14,0.3,4,2
375,L,1,20,0,,,20,0,0,0
375,L,2,20,2,,,18,0.1,1,1
375,L,3,20,4,,,16,0.2,1,3
375,L,4,20,4,,,16,0.2,2,2
375,L,5,20,6,,,14,0.3,2,4
380,L,1,20,0,,,20,0,0,0
380,L,2,20,0,,,20,0,0,0
380,L,3,20,0,,,20,0,0,0
380,L,4,20,1,,,19,0.05,1,0
380,L,5,20,0,,,20,0,0,0
391,L,1,20,2,,,18,0.1,1,1
391,L,2,20,3,,,17,0.15,1,2
391,L,3,20,2,,,18,0.1,1,1
391,L,4,20,3,,,17,0.15,2,1
391,L,5,20,2,,,18,0.1,1,1
399,L,1,20,0,,,20,0,0,0
399,L,2,20,8,,,12,0.4,1,7
399,L,3,20,9,,,11,0.45,4,5
399,L,4,20,14,,,6,0.7,3,11
399,L,5,20,9,,,11,0.45,6,3
427,L,1,20,1,,,19,0.05,1,0
427,L,2,20,8,,,12,0.4,4,4
427,L,3,20,7,,,13,0.35,4,3
427,L,4,20,6,,,14,0.3,2,4
427,L,5,20,11,,,9,0.55,7,4
437,L,1,20,0,,,20,0,0,0
437,L,2,20,7,,,13,0.35,5,2
437,L,3,20,6,,,14,0.3,2,4
437,L,4,20,6,,,14,0.3,5,1
437,L,5,20,12,,,8,0.6,4,8
441,L,1,20,0,,,20,0,0,0
441,L,2,20,4,,,16,0.2,3,1
441,L,3,20,12,,,8,0.6,4,8
441,L,4,20,12,,,8,0.6,5,7
441,L,5,20,9,,,11,0.45,5,4
486,L,1,20,0,,,20,0,0,0
486,L,2,20,1,,,19,0.05,0,1
486,L,3,20,3,,,17,0.15,3,0
486,L,4,20,0,,,20,0,0,0
486,L,5,20,1,,,19,0.05,0,1
517,L,1,20,1,,,19,0.05,0,1
517,L,2,20,3,,,17,0.15,3,0
517,L,3,20,6,,,14,0.3,5,1
517,L,4,20,5,,,15,0.25,2,3
517,L,5,20,5,,,15,0.25,1,4
555,L,1,13,0,,,13,0,0,0
555,L,2,20,6,,,14,0.3,4,2
555,L,3,20,9,,,11,0.45,6,3
555,L,4,20,15,,,5,0.75,9,6
555,L,5,20,11,,,9,0.55,6,5
705,L,1,20,0,,,20,0,0,0
705,L,2,20,6,,,14,0.3,2,4
705,L,3,20,8,,,12,0.4,4,4
705,L,4,20,8,,,12,0.4,4,4
705,L,5,20,3,,,17,0.15,2,1
707,L,1,20,7,,,13,0.35,4,3
707,L,2,13,3,,,10,0.230769231,2,1
707,L,3,20,9,,,11,0.45,5,4
707,L,4,20,12,,,8,0.6,4,8
707,L,5,2,1,,,1,0.5,1,0
712,L,1,12,0,,,12,0,0,0
712,L,2,20,2,,,18,0.1,0,2
712,L,3,20,4,,,16,0.2,2,2
712,L,4,20,2,,,18,0.1,1,1
712,L,5,20,7,,,13,0.35,5,2
714,L,1,14,0,,,14,0,0,0
714,L,2,14,1,,,13,0.071428571,1,0
714,L,3,20,2,,,18,0.1,1,1
714,L,4,20,6,,,14,0.3,4,2
714,L,5,20,5,,,15,0.25,2,3
730,L,1,20,0,,,20,0,0,0
730,L,2,20,6,,,14,0.3,4,2
730,L,3,20,4,,,16,0.2,3,1
730,L,4,20,5,,,15,0.25,3,2
730,L,5,20,6,,,14,0.3,3,3
732,L,1,10,0,,,10,0,0,0
732,L,2,20,10,,,10,0.5,6,4
732,L,3,20,8,,,12,0.4,4,4
732,L,4,20,16,,,4,0.8,11,5
732,L,5,20,10,,,10,0.5,6,4
786,L,2,20,11,,,9,0.55,5,6
786,L,3,20,7,,,13,0.35,4,3
786,L,4,20,4,,,16,0.2,2,2
786,L,5,12,1,,,11,0.083333333,0,1
799,L,1,20,2,,,18,0.1,1,1
799,L,2,20,9,,,11,0.45,5,4
799,L,3,20,3,,,17,0.15,3,0
799,L,4,20,7,,,13,0.35,4,3
799,L,5,4,3,,,1,0.75,2,1
820,L,1,20,1,,,19,0.05,0,1
820,L,2,20,15,,,5,0.75,11,4
820,L,3,20,9,,,11,0.45,6,3
820,L,4,20,8,,,12,0.4,3,5
820,L,5,20,10,,,10,0.5,6,4
832,L,1,20,0,,,20,0,0,0
832,L,2,20,4,,,16,0.2,3,1
832,L,3,20,8,,,12,0.4,3,5
832,L,4,20,14,,,6,0.7,5,9
832,L,5,20,12,,,8,0.6,3,9
852,L,2,4,2,,,2,0.5,1,1
852,L,3,2,0,,,2,0,0,0
852,L,5,1,1,,,0,1,1,0
859,L,1,12,0,,,12,0,0,0
859,L,2,20,9,,,11,0.45,5,4
859,L,3,20,4,,,16,0.2,3,1
859,L,4,20,11,,,9,0.55,5,6
859,L,5,20,10,,,10,0.5,5,5
908,L,1,20,0,,,20,0,0,0
908,L,2,20,6,,,14,0.3,3,3
908,L,3,20,2,,,18,0.1,1,1
908,L,4,20,6,,,14,0.3,1,5
908,L,5,20,5,,,15,0.25,2,3
913,L,1,20,1,,,19,0.05,0,1
913,L,2,20,14,,,6,0.7,6,8
913,L,3,20,4,,,16,0.2,2,2
913,L,4,20,6,,,14,0.3,2,4
913,L,5,20,7,,,13,0.35,5,2
149,A,1,20,20,10,10,0,1,10,10
149,A,2,11,10,2,9,1,0.909090909,2,8
149,A,3,17,16,8,9,1,0.941176471,8,8
149,A,4,19,16,10,9,3,0.842105263,9,7
149,A,5,20,17,10,10,3,0.85,10,7
208,A,1,8,7,5,3,1,0.875,5,2
208,A,2,17,14,7,10,3,0.823529412,6,8
208,A,3,19,16,10,9,3,0.842105263,7,9
208,A,4,19,19,8,11,0,1,8,11
208,A,5,20,17,10,10,3,0.85,9,8
301,A,1,18,0,10,8,18,0,0,0
301,A,2,17,3,10,7,14,0.176470588,1,2
301,A,3,20,3,10,10,17,0.15,3,0
301,A,4,19,2,10,9,17,0.105263158,1,1
301,A,5,19,0,9,10,19,0,0,0
303,A,1,20,13,10,10,7,0.65,3,10
303,A,2,20,18,10,10,2,0.9,8,10
303,A,3,20,18,10,10,2,0.9,9,9
303,A,4,18,17,10,8,1,0.944444444,9,8
303,A,5,20,20,10,10,0,1,10,10
304,A,1,20,20,10,10,0,1,10,10
304,A,2,20,17,10,10,3,0.85,9,8
304,A,3,19,14,10,9,5,0.736842105,7,7
304,A,4,12,6,5,7,6,0.5,1,5
304,A,5,17,8,9,8,9,0.470588235,2,6
307,A,1,20,0,10,10,20,0,0,0
307,A,2,20,0,10,10,20,0,0,0
307,A,3,20,2,10,10,18,0.1,2,0
307,A,4,20,2,10,10,18,0.1,1,1
307,A,5,20,2,10,10,18,0.1,1,1
313,A,1,16,4,10,6,12,0.25,0,4
313,A,2,7,2,5,2,5,0.285714286,2,0
313,A,3,14,3,10,4,11,0.214285714,3,0
313,A,4,13,9,9,4,4,0.692307692,7,2
313,A,5,10,2,10,0,8,0.2,2,0
315,A,1,20,13,10,10,7,0.65,6,7
315,A,2,17,12,10,7,5,0.705882353,5,7
315,A,3,18,9,10,8,9,0.5,4,5
315,A,4,18,12,8,10,6,0.666666667,6,6
315,A,5,20,14,10,10,6,0.7,6,8
335,A,1,20,12,10,10,8,0.6,7,5
335,A,2,19,10,10,9,9,0.526315789,5,5
335,A,3,20,17,10,10,3,0.85,8,9
335,A,4,20,18,10,10,2,0.9,8,10
335,A,5,20,15,10,10,5,0.75,5,10
356,A,1,19,11,10,9,8,0.578947368,8,3
356,A,2,18,8,10,8,10,0.444444444,7,1
356,A,3,16,4,6,10,12,0.25,1,3
356,A,4,18,3,9,9,15,0.166666667,2,1
356,A,5,19,13,9,10,6,0.684210526,6,7
357,A,4,20,14,10,10,6,0.7,7,7
357,A,5,18,11,9,9,7,0.611111111,5,6
357,A,1,19,15,10,9,4,0.789473684,6,9
357,A,2,20,8,10,10,12,0.4,3,5
357,A,3,20,14,10,10,6,0.7,8,6
358,A,1,19,7,9,10,12,0.368421053,3,4
358,A,2,18,12,9,9,6,0.666666667,6,6
358,A,3,17,10,8,9,7,0.588235294,4,6
358,A,4,20,15,10,10,5,0.75,8,7
358,A,5,20,17,10,10,3,0.85,9,8
360,A,1,20,19,10,10,1,0.95,10,9
360,A,2,20,15,10,10,5,0.75,10,5
360,A,3,16,11,6,10,5,0.6875,5,6
360,A,4,20,11,10,10,9,0.55,9,2
360,A,5,14,7,9,5,7,0.5,5,2
362,A,1,19,19,9,10,0,1,9,10
362,A,2,20,9,10,10,11,0.45,7,2
362,A,3,20,11,10,10,9,0.55,8,3
362,A,4,18,12,9,9,6,0.666666667,8,4
362,A,5,20,14,10,10,6,0.7,8,6
365,A,1,20,15,10,10,5,0.75,8,7
365,A,2,20,15,10,10,5,0.75,8,7
365,A,3,19,13,10,9,6,0.684210526,5,8
365,A,4,19,10,10,9,9,0.526315789,2,8
365,A,5,19,14,10,9,5,0.736842105,8,6
375,A,1,20,19,10,10,1,0.95,9,10
375,A,2,20,19,10,10,1,0.95,10,9
375,A,3,18,12,9,9,6,0.666666667,7,5
375,A,4,19,10,10,9,9,0.526315789,4,6
375,A,5,20,14,10,10,6,0.7,9,5
380,A,1,20,20,10,10,0,1,10,10
380,A,2,20,17,10,10,3,0.85,7,10
380,A,3,19,16,9,10,3,0.842105263,9,7
380,A,4,19,19,10,9,0,1,10,9
380,A,5,20,20,10,10,0,1,10,10
391,A,1,20,11,10,10,9,0.55,6,5
391,A,2,17,2,7,10,15,0.117647059,1,1
391,A,3,16,9,9,7,7,0.5625,5,4
391,A,4,20,10,10,10,10,0.5,6,4
391,A,5,20,12,10,10,8,0.6,6,6
399,A,1,19,19,9,10,0,1,9,10
399,A,2,20,20,10,10,0,1,10,10
399,A,3,18,14,8,10,4,0.777777778,8,6
399,A,4,17,17,8,9,0,1,8,9
399,A,5,20,17,10,10,3,0.85,9,8
427,A,1,16,14,6,10,2,0.875,5,9
427,A,2,14,14,7,7,0,1,7,7
427,A,3,18,18,10,8,0,1,10,8
427,A,4,20,18,10,10,2,0.9,9,9
427,A,5,19,17,9,10,2,0.894736842,9,8
437,A,1,17,15,9,8,2,0.882352941,9,6
437,A,2,14,14,4,10,0,1,4,10
437,A,3,18,16,9,9,2,0.888888889,7,9
437,A,4,18,18,9,9,0,1,9,9
437,A,5,18,15,10,8,3,0.833333333,9,6
441,A,1,19,0,10,9,19,0,0,0
441,A,2,19,5,10,9,14,0.263157895,5,0
441,A,3,20,6,9,11,14,0.3,5,1
441,A,4,20,2,10,10,18,0.1,1,1
441,A,5,20,12,10,10,8,0.6,4,8
486,A,1,19,19,10,9,0,1,10,9
486,A,2,20,19,10,10,1,0.95,9,10
486,A,3,15,10,5,10,5,0.666666667,5,5
486,A,4,18,18,9,9,0,1,9,9
486,A,5,20,17,10,10,3,0.85,8,9
517,A,1,14,13,8,6,1,0.928571429,7,6
517,A,2,19,14,9,10,5,0.736842105,6,8
517,A,3,20,11,10,10,9,0.55,7,4
517,A,4,19,11,10,9,8,0.578947368,8,3
517,A,5,18,7,9,9,11,0.388888889,4,3
555,A,1,19,18,10,9,1,0.947368421,10,8
555,A,2,15,8,6,9,7,0.533333333,5,3
555,A,3,19,17,10,9,2,0.894736842,9,8
555,A,4,18,14,9,9,4,0.777777778,8,6
555,A,5,20,8,10,10,12,0.4,5,3
705,A,1,8,6,6,2,2,0.75,6,0
705,A,2,20,8,10,10,12,0.4,6,2
705,A,3,17,6,8,9,11,0.352941176,5,1
705,A,4,16,5,8,8,11,0.3125,4,1
707,A,1,17,12,8,9,5,0.705882353,8,4
707,A,2,20,15,10,10,5,0.75,10,5
707,A,3,20,13,10,10,7,0.65,10,3
707,A,4,18,15,9,9,3,0.833333333,7,8
707,A,5,19,16,10,9,3,0.842105263,9,7
712,A,1,18,9,8,10,9,0.5,1,8
712,A,2,28,15,8,20,13,0.535714286,6,9
712,A,3,20,3,10,10,17,0.15,0,3
712,A,4,20,5,10,10,15,0.25,0,5
712,A,5,20,9,10,10,11,0.45,3,6
714,A,1,19,11,9,10,8,0.578947368,5,6
714,A,2,19,11,10,9,8,0.578947368,10,1
714,A,3,17,5,8,9,12,0.294117647,2,3
714,A,4,18,9,10,8,9,0.5,5,4
714,A,5,19,10,9,10,9,0.526315789,5,5
730,A,1,20,11,10,10,9,0.55,9,2
730,A,2,17,10,8,9,7,0.588235294,4,6
730,A,3,20,9,10,10,11,0.45,7,2
730,A,4,19,9,9,10,10,0.473684211,5,4
730,A,5,19,13,9,10,6,0.684210526,8,5
732,A,1,19,15,9,10,4,0.789473684,9,6
732,A,2,20,11,10,10,9,0.55,10,1
732,A,3,19,15,9,10,4,0.789473684,9,6
732,A,4,19,18,10,9,1,0.947368421,10,8
732,A,5,19,17,10,9,2,0.894736842,9,8
786,A,1,18,10,9,9,8,0.555555556,9,1
786,A,2,19,10,10,9,9,0.526315789,10,0
786,A,3,18,12,9,9,6,0.666666667,3,9
786,A,4,20,12,10,10,8,0.6,8,4
786,A,5,19,16,10,9,3,0.842105263,7,9
799,A,1,19,7,10,9,12,0.368421053,2,5
799,A,1,20,3,10,10,17,0.15,2,1
799,A,2,19,0,10,9,19,0,0,0
799,A,3,5,1,4,1,4,0.2,1,0
799,A,4,13,4,5,8,9,0.307692308,2,2
799,A,5,10,2,5,5,8,0.2,1,1
799,A,5,19,5,9,10,14,0.263157895,1,4
820,A,1,20,11,10,10,9,0.55,6,5
820,A,2,20,2,10,10,18,0.1,1,1
820,A,3,19,10,10,9,9,0.526315789,5,5
820,A,4,19,11,9,10,8,0.578947368,6,5
820,A,5,19,15,10,9,4,0.789473684,7,8
832,A,1,20,4,10,10,16,0.2,2,2
832,A,2,20,1,10,10,19,0.05,1,0
832,A,3,19,3,10,9,16,0.157894737,1,2
832,A,4,20,12,10,10,8,0.6,7,5
832,A,5,20,5,10,10,15,0.25,2,3
852,A,1,19,11,10,9,8,0.578947368,9,2
852,A,2,20,7,10,10,13,0.35,6,1
852,A,3,17,13,9,8,4,0.764705882,8,5
852,A,4,16,12,7,9,4,0.75,7,5
852,A,5,20,10,10,10,10,0.5,8,2
859,A,1,20,17,10,10,3,0.85,9,8
859,A,2,20,5,10,10,15,0.25,3,2
859,A,3,20,11,10,10,9,0.55,5,6
859,A,4,20,14,10,10,6,0.7,10,4
859,A,5,20,9,10,10,11,0.45,4,5
908,A,1,18,9,10,8,9,0.5,8,1
908,A,2,16,14,10,6,2,0.875,10,4
908,A,3,18,3,8,10,15,0.166666667,2,1
908,A,4,13,2,9,4,11,0.153846154,2,0
908,A,5,18,6,8,10,12,0.333333333,2,4
913,A,2,20,7,10,10,13,0.35,4,3
913,A,3,20,8,10,10,12,0.4,2,6
913,A,4,20,11,10,10,9,0.55,6,5
913,A,5,20,7,10,10,13,0.35,3,4
