dgrpline,stage,rep,n,alive,s_male,s_female,dead,prop_alive,f_male,f_female
149,L,1,20,13,,,7,0.65,4,9
149,L,2,20,10,,,10,0.5,4,6
149,L,3,20,10,,,10,0.5,4,6
149,L,4,20,14,,,6,0.7,7,7
149,L,5,20,17,,,3,0.85,8,9
208,L,1,20,12,,,8,0.6,6,6
208,L,2,20,15,,,5,0.75,7,8
208,L,3,20,15,,,5,0.75,7,8
208,L,4,20,14,,,6,0.7,4,10
208,L,5,20,19,,,1,0.95,9,10
301,L,1,20,12,,,8,0.6,4,8
301,L,2,20,10,,,10,0.5,2,8
301,L,3,20,9,,,11,0.45,5,4
301,L,4,20,3,,,17,0.15,1,2
301,L,5,20,10,,,10,0.5,2,8
303,L,1,20,15,,,5,0.75,8,7
303,L,2,20,16,,,4,0.8,7,9
303,L,3,20,16,,,4,0.8,6,10
303,L,4,20,18,,,2,0.9,9,9
303,L,5,20,16,,,4,0.8,8,8
304,L,1,20,14,,,6,0.7,7,7
304,L,2,20,16,,,4,0.8,9,7
304,L,3,20,11,,,9,0.55,6,5
304,L,4,20,11,,,9,0.55,6,5
304,L,5,20,8,,,12,0.4,5,3
307,L,1,20,9,,,11,0.45,3,6
307,L,2,20,2,,,18,0.1,1,1
307,L,3,20,1,,,19,0.05,1,0
307,L,4,20,1,,,19,0.05,0,1
307,L,5,20,4,,,16,0.2,2,2
313,L,1,20,13,,,7,0.65,5,8
313,L,2,20,13,,,7,0.65,9,4
313,L,3,20,6,,,14,0.3,2,4
313,L,4,20,4,,,16,0.2,2,2
313,L,5,20,9,,,11,0.45,5,4
315,L,1,20,14,,,6,0.7,5,9
315,L,2,20,15,,,5,0.75,8,7
315,L,3,20,16,,,4,0.8,8,8
315,L,4,20,14,,,6,0.7,7,7
315,L,5,20,18,,,2,0.9,9,9
335,L,1,20,18,,,2,0.9,10,8
335,L,2,20,17,,,3,0.85,9,8
335,L,3,20,17,,,3,0.85,5,12
335,L,4,20,16,,,4,0.8,10,6
335,L,5,20,17,,,3,0.85,9,8
356,L,1,20,7,,,13,0.35,2,5
356,L,2,20,1,,,19,0.05,1,0
356,L,3,20,2,,,18,0.1,1,1
356,L,4,20,0,,,20,0,0,0
356,L,5,20,3,,,17,0.15,1,2
357,L,1,20,19,,,1,0.95,11,8
357,L,2,20,17,,,3,0.85,9,8
357,L,3,20,13,,,7,0.65,6,7
357,L,4,20,11,,,9,0.55,5,6
357,L,5,20,17,,,3,0.85,8,9
358,L,1,20,15,,,5,0.75,9,6
358,L,2,20,15,,,5,0.75,8,7
358,L,3,20,13,,,7,0.65,7,6
358,L,4,20,17,,,3,0.85,9,8
358,L,5,20,12,,,8,0.6,6,6
360,L,1,20,17,,,3,0.85,10,7
360,L,2,20,17,,,3,0.85,7,10
360,L,3,20,17,,,3,0.85,8,9
360,L,4,20,12,,,8,0.6,8,4
360,L,5,20,17,,,3,0.85,8,9
362,L,1,20,6,,,14,0.3,2,4
362,L,2,20,13,,,7,0.65,7,6
362,L,3,20,7,,,13,0.35,3,4
362,L,4,20,8,,,12,0.4,6,2
362,L,5,20,2,,,18,0.1,1,1
365,L,1,20,9,,,11,0.45,6,3
365,L,2,20,9,,,11,0.45,2,7
365,L,3,20,2,,,18,0.1,1,1
365,L,4,20,6,,,14,0.3,4,2
365,L,5,20,2,,,18,0.1,1,1
375,L,1,20,8,,,12,0.4,4,4
375,L,2,20,4,,,16,0.2,2,2
375,L,3,20,2,,,18,0.1,0,2
375,L,4,20,0,,,20,0,0,0
375,L,5,20,1,,,19,0.05,0,1
380,L,1,20,20,,,0,1,11,9
380,L,2,20,19,,,1,0.95,7,12
380,L,3,20,18,,,2,0.9,7,11
380,L,4,20,17,,,3,0.85,8,9
380,L,5,20,20,,,0,1,10,10
391,L,1,20,14,,,6,0.7,7,7
391,L,2,20,8,,,12,0.4,0,8
391,L,3,20,6,,,14,0.3,3,3
391,L,4,20,1,,,19,0.05,1,0
391,L,5,20,1,,,19,0.05,0,1
399,L,1,20,15,,,5,0.75,5,10
399,L,2,20,12,,,8,0.6,5,7
399,L,3,20,17,,,3,0.85,8,9
399,L,4,20,15,,,5,0.75,6,9
399,L,5,20,8,,,12,0.4,3,5
427,L,1,20,13,,,7,0.65,9,4
427,L,2,20,13,,,7,0.65,6,7
427,L,3,20,9,,,11,0.45,5,4
427,L,4,20,11,,,9,0.55,6,5
427,L,5,20,16,,,4,0.8,8,8
437,L,1,20,12,,,8,0.6,6,6
437,L,2,20,14,,,6,0.7,6,8
437,L,3,20,11,,,9,0.55,4,7
437,L,4,20,10,,,10,0.5,2,8
437,L,5,20,7,,,13,0.35,4,3
441,L,1,20,8,,,12,0.4,5,3
441,L,2,20,3,,,17,0.15,2,1
441,L,3,20,3,,,17,0.15,1,2
441,L,4,20,0,,,20,0,0,0
441,L,5,20,2,,,18,0.1,1,1
486,L,1,20,1,,,19,0.05,0,1
486,L,2,20,3,,,17,0.15,2,1
486,L,3,20,2,,,18,0.1,1,1
486,L,4,20,1,,,19,0.05,0,1
486,L,5,20,0,,,20,0,0,0
517,L,1,20,13,,,7,0.65,8,5
517,L,2,20,11,,,9,0.55,6,5
517,L,3,20,13,,,7,0.65,7,6
517,L,4,20,12,,,8,0.6,3,9
517,L,5,20,13,,,7,0.65,7,6
555,L,1,20,18,,,2,0.9,10,8
555,L,2,20,16,,,4,0.8,5,11
555,L,3,20,16,,,4,0.8,8,8
555,L,4,20,14,,,6,0.7,6,8
555,L,5,20,11,,,9,0.55,6,5
705,L,1,20,16,,,4,0.8,8,8
705,L,2,20,20,,,0,1,9,11
705,L,3,20,19,,,1,0.95,10,9
705,L,4,20,19,,,1,0.95,7,12
705,L,5,20,18,,,2,0.9,7,11
707,L,1,20,11,,,9,0.55,4,7
707,L,2,20,16,,,4,0.8,9,7
707,L,3,20,6,,,14,0.3,3,3
707,L,4,20,9,,,11,0.45,5,4
707,L,5,20,10,,,10,0.5,5,5
712,L,1,20,10,,,10,0.5,3,7
712,L,2,20,4,,,16,0.2,1,3
712,L,3,20,1,,,19,0.05,1,0
712,L,4,20,1,,,19,0.05,0,1
712,L,5,20,1,,,19,0.05,1,0
714,L,1,20,13,,,7,0.65,4,9
714,L,2,20,2,,,18,0.1,0,2
714,L,3,20,3,,,17,0.15,2,1
714,L,4,20,6,,,14,0.3,3,3
714,L,5,20,7,,,13,0.35,5,2
730,L,1,20,18,,,2,0.9,8,10
730,L,2,20,14,,,6,0.7,5,9
730,L,3,20,16,,,4,0.8,7,9
730,L,4,20,8,,,12,0.4,2,6
730,L,5,20,9,,,11,0.45,4,5
732,L,1,20,17,,,3,0.85,4,13
732,L,2,20,19,,,1,0.95,10,9
732,L,3,20,19,,,1,0.95,5,14
732,L,4,20,14,,,6,0.7,6,8
732,L,5,20,18,,,2,0.9,6,12
786,L,1,20,16,,,4,0.8,11,5
786,L,2,20,8,,,12,0.4,3,5
786,L,3,20,6,,,14,0.3,3,3
786,L,4,20,1,,,19,0.05,0,1
786,L,5,20,4,,,16,0.2,1,3
799,L,1,20,13,,,7,0.65,7,6
799,L,2,20,15,,,5,0.75,7,8
799,L,3,20,15,,,5,0.75,8,7
799,L,4,20,18,,,2,0.9,9,9
799,L,5,20,18,,,2,0.9,9,9
820,L,1,20,10,,,10,0.5,5,5
820,L,2,20,5,,,15,0.25,2,3
820,L,3,20,2,,,18,0.1,0,2
820,L,4,20,2,,,18,0.1,0,2
820,L,5,20,4,,,16,0.2,1,3
832,L,1,20,5,,,15,0.25,2,3
832,L,2,20,6,,,14,0.3,2,4
832,L,3,20,3,,,17,0.15,1,2
832,L,4,20,2,,,18,0.1,1,1
832,L,5,20,11,,,9,0.55,6,5
852,L,1,20,16,,,4,0.8,6,10
852,L,2,20,12,,,8,0.6,4,8
852,L,3,20,8,,,12,0.4,3,5
852,L,4,20,13,,,7,0.65,7,6
852,L,5,20,7,,,13,0.35,1,6
859,L,1,20,20,,,0,1,9,11
859,L,2,20,19,,,1,0.95,7,12
859,L,3,20,18,,,2,0.9,5,13
859,L,4,20,13,,,7,0.65,5,8
859,L,5,20,13,,,7,0.65,6,7
908,L,1,20,14,,,6,0.7,3,11
908,L,2,20,11,,,9,0.55,4,7
908,L,3,20,2,,,18,0.1,0,2
908,L,4,20,6,,,14,0.3,0,6
908,L,5,20,10,,,10,0.5,1,9
913,L,1,20,16,,,4,0.8,5,11
913,L,2,20,16,,,4,0.8,10,6
913,L,3,20,15,,,5,0.75,8,7
913,L,4,20,14,,,6,0.7,7,7
913,L,5,20,18,,,2,0.9,9,9
149,A,1,19,14,10,9,5,0.736842105,7,7
149,A,2,18,9,8,10,9,0.5,2,7
149,A,3,18,7,8,10,11,0.388888889,4,3
149,A,4,20,10,10,10,10,0.5,7,3
149,A,5,20,10,10,10,10,0.5,6,4
208,A,1,20,16,10,10,4,0.8,8,8
208,A,2,19,17,9,10,2,0.894736842,7,10
208,A,3,20,14,10,10,6,0.7,4,10
208,A,4,20,20,10,10,0,1,10,10
208,A,5,20,18,10,10,2,0.9,8,10
301,A,1,19,16,9,10,3,0.842105263,7,9
301,A,2,20,9,10,10,11,0.45,1,8
301,A,3,17,9,7,10,8,0.529411765,1,8
301,A,4,10,4,5,5,6,0.4,3,1
301,A,5,20,11,10,10,9,0.55,3,8
303,A,1,20,4,10,10,16,0.2,0,4
303,A,2,20,11,10,10,9,0.55,6,5
303,A,3,20,13,10,10,7,0.65,4,9
303,A,4,20,5,10,10,15,0.25,0,5
303,A,5,20,7,10,10,13,0.35,1,6
304,A,1,20,13,10,10,7,0.65,8,5
304,A,2,20,15,10,10,5,0.75,5,10
304,A,3,19,18,9,10,1,0.947368421,8,10
304,A,4,20,18,10,10,2,0.9,8,10
304,A,5,20,20,10,10,0,1,10,10
307,A,1,20,9,10,10,11,0.45,1,8
307,A,2,19,7,10,9,12,0.368421053,2,5
307,A,3,18,6,9,9,12,0.333333333,0,6
307,A,4,20,5,10,10,15,0.25,0,5
307,A,5,20,6,10,10,14,0.3,1,5
313,A,1,19,16,9,10,3,0.842105263,7,9
313,A,2,19,13,10,9,6,0.684210526,5,8
313,A,3,20,17,10,10,3,0.85,7,10
313,A,4,19,15,10,9,4,0.789473684,6,9
313,A,5,19,16,10,9,3,0.842105263,7,9
315,A,1,20,12,10,10,8,0.6,6,6
315,A,2,18,6,9,9,12,0.333333333,0,6
315,A,3,18,8,10,8,10,0.444444444,2,6
315,A,4,20,14,10,10,6,0.7,5,9
315,A,5,20,7,10,10,13,0.35,0,7
335,A,1,20,6,10,10,14,0.3,1,5
335,A,2,20,3,10,10,17,0.15,0,3
335,A,3,20,8,10,10,12,0.4,1,7
335,A,4,20,6,10,10,14,0.3,0,6
335,A,5,20,8,10,10,12,0.4,2,6
356,A,1,17,9,9,8,8,0.529411765,2,7
356,A,2,18,9,10,8,9,0.5,7,2
356,A,3,20,2,10,10,18,0.1,1,1
356,A,4,19,5,10,9,14,0.263157895,5,0
356,A,5,20,6,10,10,14,0.3,1,5
357,A,1,18,6,9,9,12,0.333333333,4,2
357,A,2,20,4,10,10,16,0.2,3,1
357,A,3,20,7,10,10,13,0.35,4,3
357,A,4,19,8,10,9,11,0.421052632,4,4
357,A,5,20,7,10,10,13,0.35,3,4
358,A,1,20,4,10,10,16,0.2,0,4
358,A,2,15,1,7,8,14,0.066666667,0,1
358,A,3,20,0,10,10,20,0,0,0
358,A,4,20,6,10,10,14,0.3,0,6
358,A,5,20,3,10,10,17,0.15,0,3
360,A,1,18,8,8,10,10,0.444444444,0,8
360,A,2,18,10,8,10,8,0.555555556,0,10
360,A,3,20,5,10,10,15,0.25,0,5
360,A,4,20,0,10,10,20,0,0,0
360,A,5,20,2,10,10,18,0.1,0,2
362,A,1,20,6,11,9,14,0.3,1,5
362,A,2,20,0,10,10,20,0,0,0
362,A,3,20,2,10,10,18,0.1,0,2
362,A,4,20,1,10,10,19,0.05,0,1
362,A,5,20,0,10,10,20,0,0,0
365,A,1,20,10,10,10,10,0.5,1,9
365,A,2,20,8,10,10,12,0.4,0,8
365,A,3,20,5,10,10,15,0.25,0,5
365,A,4,20,1,10,10,19,0.05,1,0
365,A,5,20,2,10,10,18,0.1,1,1
375,A,1,19,15,10,9,4,0.789473684,7,8
375,A,2,20,12,10,10,8,0.6,4,8
375,A,3,19,7,10,9,12,0.368421053,3,4
375,A,4,20,12,10,10,8,0.6,5,7
375,A,5,16,8,8,8,8,0.5,1,7
380,A,1,18,12,8,10,6,0.666666667,5,7
380,A,2,19,8,9,10,11,0.421052632,1,7
380,A,3,20,10,10,10,10,0.5,5,5
380,A,4,20,9,10,10,11,0.45,5,4
380,A,5,20,10,10,10,10,0.5,5,5
391,A,1,20,15,10,10,5,0.75,6,9
391,A,2,14,3,9,5,11,0.214285714,0,3
391,A,3,20,9,10,10,11,0.45,0,9
391,A,4,18,8,10,8,10,0.444444444,1,7
391,A,5,20,8,10,10,12,0.4,1,7
399,A,1,17,9,9,8,8,0.529411765,4,5
399,A,2,19,5,9,10,14,0.263157895,0,5
399,A,3,20,7,10,10,13,0.35,2,5
399,A,4,20,7,10,10,13,0.35,0,7
399,A,5,19,7,9,10,12,0.368421053,0,7
427,A,1,19,13,9,10,6,0.684210526,4,9
427,A,2,20,14,10,10,6,0.7,4,10
427,A,3,20,13,10,10,7,0.65,3,10
427,A,4,20,11,10,10,9,0.55,1,10
427,A,5,20,12,10,10,8,0.6,2,10
437,A,1,20,11,10,10,9,0.55,3,8
437,A,2,20,5,10,10,15,0.25,0,5
437,A,3,20,9,10,10,11,0.45,1,8
437,A,4,20,2,10,10,18,0.1,0,2
437,A,5,20,7,10,10,13,0.35,0,7
441,A,1,18,16,8,10,2,0.888888889,7,9
441,A,2,19,17,9,10,2,0.894736842,7,10
441,A,3,20,17,10,10,3,0.85,7,10
441,A,4,20,17,10,10,3,0.85,7,10
441,A,5,20,17,10,10,3,0.85,7,10
486,A,1,20,16,10,10,4,0.8,7,9
486,A,2,18,3,8,10,15,0.166666667,0,3
486,A,3,19,4,9,10,15,0.210526316,0,4
486,A,4,20,4,10,10,16,0.2,0,4
486,A,5,19,4,9,10,15,0.210526316,0,4
517,A,1,19,4,10,9,15,0.210526316,0,4
517,A,2,20,6,10,10,14,0.3,0,6
517,A,3,19,4,10,9,15,0.210526316,0,4
517,A,4,20,3,10,10,17,0.15,0,3
517,A,5,20,3,10,10,17,0.15,0,3
555,A,1,19,17,10,9,2,0.894736842,9,8
555,A,2,20,10,10,10,10,0.5,1,9
555,A,3,20,15,10,10,5,0.75,7,8
555,A,4,20,12,10,10,8,0.6,7,5
555,A,5,20,13,10,10,7,0.65,5,8
705,A,1,20,17,10,10,3,0.85,8,9
705,A,2,20,20,10,10,0,1,10,10
705,A,3,20,16,10,10,4,0.8,6,10
705,A,4,20,18,10,10,2,0.9,8,10
705,A,5,20,19,10,10,1,0.95,9,10
707,A,1,18,9,9,9,9,0.5,1,8
707,A,2,20,4,10,10,16,0.2,0,4
707,A,3,20,2,10,10,18,0.1,0,2
707,A,4,18,2,8,10,16,0.111111111,0,2
707,A,5,19,3,10,9,16,0.157894737,0,3
712,A,1,20,3,10,10,17,0.15,1,2
712,A,2,20,5,10,10,15,0.25,0,5
712,A,3,20,5,10,10,15,0.25,0,5
712,A,4,20,4,10,10,16,0.2,0,4
712,A,5,20,4,10,10,16,0.2,0,4
714,A,1,13,9,3,10,4,0.692307692,2,7
714,A,2,20,10,10,10,10,0.5,1,9
714,A,3,19,9,10,9,10,0.473684211,1,8
714,A,4,19,9,10,9,10,0.473684211,2,7
714,A,5,20,10,10,10,10,0.5,2,8
730,A,1,19,16,10,9,3,0.842105263,9,7
730,A,2,20,13,10,10,7,0.65,5,8
730,A,3,17,14,8,9,3,0.823529412,6,8
730,A,4,20,16,10,10,4,0.8,7,9
730,A,5,20,16,10,10,4,0.8,8,8
732,A,1,18,14,8,10,4,0.777777778,6,8
732,A,2,20,10,10,10,10,0.5,3,7
732,A,3,18,5,10,8,13,0.277777778,5,0
732,A,4,20,12,10,10,8,0.6,4,8
732,A,5,20,9,10,10,11,0.45,2,7
786,A,1,17,11,9,8,6,0.647058824,3,8
786,A,2,20,6,10,10,14,0.3,0,6
786,A,3,20,6,10,10,14,0.3,0,6
786,A,4,20,9,10,10,11,0.45,1,8
786,A,5,20,8,10,10,12,0.4,1,7
799,A,1,19,10,9,10,9,0.526315789,2,8
799,A,2,20,2,10,10,18,0.1,0,2
799,A,3,20,0,10,10,20,0,0,0
799,A,4,20,2,10,10,18,0.1,0,2
799,A,5,20,1,10,10,19,0.05,0,1
820,A,1,20,9,10,10,11,0.45,1,8
820,A,2,20,4,10,10,16,0.2,0,4
820,A,3,20,2,10,10,18,0.1,0,2
820,A,4,19,5,9,10,14,0.263157895,0,5
820,A,5,20,4,10,10,16,0.2,0,4
832,A,1,18,12,9,9,6,0.666666667,4,8
832,A,2,18,6,8,10,12,0.333333333,0,6
832,A,3,20,7,10,10,13,0.35,1,6
832,A,4,17,8,9,8,9,0.470588235,1,7
832,A,5,20,9,10,10,11,0.45,1,8
852,A,1,19,15,10,9,4,0.789473684,9,6
852,A,2,18,11,8,10,7,0.611111111,2,9
852,A,3,19,4,9,10,15,0.210526316,0,4
852,A,4,20,8,10,10,12,0.4,6,2
852,A,5,20,9,10,10,11,0.45,2,7
859,A,1,19,3,10,9,16,0.157894737,2,1
859,A,2,20,1,10,10,19,0.05,0,1
859,A,3,20,2,10,10,18,0.1,2,0
859,A,4,20,5,10,10,15,0.25,1,4
859,A,5,20,3,10,10,17,0.15,0,3
908,A,1,20,2,10,10,18,0.1,1,1
908,A,2,20,0,10,10,20,0,0,0
908,A,3,19,1,9,10,18,0.052631579,0,1
908,A,4,17,2,8,9,15,0.117647059,0,2
908,A,5,20,2,10,10,18,0.1,0,2
913,A,1,18,14,9,9,4,0.777777778,7,7
913,A,2,19,15,9,10,4,0.789473684,7,8
913,A,3,20,16,10,10,4,0.8,7,9
913,A,4,20,15,10,10,5,0.75,6,9
913,A,5,20,16,10,10,4,0.8,8,8
