Line,Gender,Rep,st 3 (pmol/s*mg protein),st 4 (pmol/s*mg protein),po ratio,,,
208,F,1,3224.32,303.04,2.47,,,
208,F,2,2271.41,297.14,2.45,,,
208,F,3,2013.90,337.91,2.25,,,
208,F,4,2803.14,253.11,2.29,,,
208,F,5,1968.39,239.58,.,,,
208,F,6,2133.61,147.73,2.95,,,
208,F,7,3028.48,282.06,2.78,,,
301,F,1,2200.66,204.61,2.57,,,
301,F,2,2914.39,203.18,2.47,,,
301,F,3,1346.90,214.17,2.78,,,
301,F,4,1962.59,238.21,2.72,,,
301,F,5,2357.99,245.79,2.56,,,
301,F,6,1922.83,316.72,2.55,,,
301,F,7,2183.30,249.42,2.67,,,
303,F,1,2248.97,207.05,2.54,,,
303,F,2,2632.96,232.43,2.47,,,
303,F,3,3503.15,210.57,2.48,,,
303,F,4,3270.43,273.65,2.21,,,
303,F,5,2646.44,182.59,2.55,,,
303,F,6,1963.77,325.16,2.60,,,
303,F,7,2588.16,324.17,2.49,,,
304,F,1,1582.36,427.45,1.60,,,
304,F,2,1717.95,393.40,2.13,,,
304,F,3,2080.28,225.06,2.67,,,
304,F,4,3124.13,292.33,2.73,,,
304,F,5,3479.98,272.15,2.68,,,
304,F,6,2090.54,312.83,2.65,,,
304,F,7,2500.22,352.63,2.67,,,
306,F,1,1953.45,198.80,2.47,,,
306,F,2,2710.28,198.01,2.44,,,
306,F,3,2790.87,200.24,2.32,,,
306,F,4,2127.45,241.17,2.43,,,
306,F,5,2764.45,235.84,2.83,,,
306,F,6,2035.41,192.76,3.10,,,
306,F,7,2934.46,325.68,2.74,,,
307,F,1,1062.51,281.79,2.66,,,
307,F,2,2098.44,266.01,2.70,,,
307,F,3,1036.83,165.73,2.62,,,
307,F,4,1700.97,280.63,2.64,,,
307,F,5,1607.84,221.52,2.85,,,
307,F,6,1048.29,259.04,3.06,,,
313,F,1,1204.67,112.19,2.86,,,
313,F,2,1646.18,219.50,2.69,,,
313,F,3,1147.00,230.03,3.02,,,
313,F,4,2076.47,193.03,2.68,,,
313,F,5,1410.14,184.56,2.70,,,
313,F,6,2727.05,261.65,2.66,,,
313,F,7,1783.77,265.20,2.71,,,
313,F,8,1932.63,192.35,2.82,,,
315,F,1,3257.67,211.07,2.39,,,
315,F,2,3530.65,216.12,2.33,,,
315,F,3,2898.49,204.95,2.55,,,
315,F,4,2590.48,329.72,1.93,,,
315,F,5,2816.76,309.34,2.15,,,
315,F,6,3299.91,540.64,2.01,,,
315,F,7,2738.22,434.01,1.69,,,
324,F,1,1913.88,363.99,2.20,,,
324,F,2,3261.38,317.53,2.60,,,
324,F,3,2414.40,248.23,2.67,,,
324,F,4,1801.17,133.16,2.80,,,
324,F,5,2009.91,239.94,2.67,,,
324,F,6,1898.38,194.22,2.77,,,
324,F,7,2244.59,227.03,3.01,,,
335,F,1,1270.16,305.38,2.32,,,
335,F,2,1177.83,245.58,2.90,,,
335,F,3,814.70,261.69,3.02,,,
335,F,4,1062.12,323.97,2.72,,,
335,F,5,838.43,339.97,2.68,,,
335,F,6,1326.16,257.10,2.66,,,
357,F,1,3031.75,236.57,2.32,,,
357,F,2,1592.81,370.79,2.51,,,
357,F,3,1817.60,258.78,2.41,,,
357,F,4,2046.45,282.18,2.42,,,
357,F,5,1980.00,317.95,2.51,,,
357,F,6,1393.98,219.05,2.69,,,
357,F,7,1576.62,206.59,3.27,,,
358,F,1,2882.27,235.76,2.36,,,
358,F,2,2768.14,195.50,2.47,,,
358,F,3,2431.74,218.83,2.59,,,
358,F,4,2764.95,227.10,2.48,,,
358,F,5,1565.22,141.91,3.15,,,
358,F,6,2032.14,180.26,2.90,,,
358,F,7,2043.41,162.16,2.43,,,
360,F,1,2320.97,263.40,2.65,,,
360,F,2,2176.06,344.96,2.61,,,
360,F,3,2702.34,249.69,.,,,
360,F,4,1576.59,319.98,2.75,,,
360,F,5,1883.61,239.14,2.40,,,
360,F,6,1977.76,226.61,2.52,,,
360,F,7,1981.35,267.54,2.48,,,
360,F,8,1936.60,230.50,2.71,,,
360,F,9,1980.88,188.89,2.63,,,
360,F,10,1488.45,227.97,3.33,,,
362,F,1,2410.56,240.79,2.44,,,
362,F,2,3358.34,268.07,2.40,,,
362,F,3,1666.91,273.08,2.64,,,
362,F,4,2252.50,376.86,2.46,,,
362,F,5,2077.79,279.93,2.51,,,
362,F,6,2209.18,420.27,2.85,,,
362,F,7,1346.79,350.04,2.88,,,
362,F,8,1277.54,322.01,2.58,,,
365,F,1,2546.65,259.23,2.28,,,
365,F,2,2150.11,340.02,2.28,,,
365,F,3,2932.68,356.31,2.20,,,
365,F,4,2497.96,168.12,2.45,,,
365,F,5,2114.40,295.29,2.38,,,
365,F,6,1742.78,210.90,2.46,,,
375,F,1,2410.65,281.63,2.57,,,
375,F,2,2319.08,330.08,2.60,,,
375,F,3,2241.91,373.75,2.21,,,
375,F,4,2464.11,299.95,2.51,,,
375,F,5,2601.18,258.89,2.45,,,
375,F,6,1921.51,221.19,2.68,,,
375,F,7,1762.10,206.33,2.90,,,
379,F,1,2539.76,161.14,2.60,,,
379,F,2,3210.69,224.08,2.43,,,
379,F,3,2609.90,122.41,3.08,,,
379,F,4,2377.10,168.49,2.73,,,
379,F,5,3303.67,605.69,.,,,
379,F,6,2491.80,270.64,2.61,,,
379,F,7,3198.34,544.24,1.96,,,
380,F,1,2113.86,207.14,2.19,,,
380,F,2,1497.37,235.30,2.20,,,
380,F,3,1514.36,259.43,2.15,,,
380,F,4,844.09,209.26,.,,,
380,F,5,1009.64,132.50,2.86,,,
380,F,6,1635.71,241.72,2.28,,,
380,F,7,883.71,282.13,2.92,,,
391,F,1,1494.02,260.23,3.00,,,
391,F,2,2168.60,311.38,2.39,,,
391,F,3,2513.90,309.92,2.46,,,
391,F,4,2653.00,317.44,2.57,,,
391,F,5,2040.73,270.79,2.30,,,
391,F,6,1566.77,301.06,2.27,,,
391,F,7,1830.14,168.14,2.68,,,
399,F,1,1398.64,293.51,.,,,
399,F,2,2689.83,311.33,2.37,,,
399,F,3,2792.48,315.97,2.33,,,
399,F,4,1893.34,392.55,3.17,,,
399,F,5,2558.13,150.86,2.58,,,
399,F,6,1609.14,192.33,3.13,,,
399,F,7,1976.02,175.49,2.60,,,
399,F,8,1711.88,221.52,3.06,,,
399,F,9,1099.36,190.90,3.10,,,
399,F,10,918.16,87.28,2.73,,,
427,F,1,2197.15,199.24,2.51,,,
427,F,2,2602.16,164.52,2.84,,,
427,F,3,3319.03,205.51,2.37,,,
427,F,4,2903.70,153.70,2.67,,,
427,F,5,2403.27,116.21,2.54,,,
427,F,6,2266.43,149.81,2.48,,,
427,F,7,2652.26,158.63,2.47,,,
427,F,8,2027.76,177.10,2.50,,,
427,F,9,1882.41,187.84,2.40,,,
437,F,1,2776.63,292.13,2.63,,,
437,F,2,1940.76,262.51,2.30,,,
437,F,3,2015.52,200.07,2.51,,,
437,F,4,3472.08,297.34,2.69,,,
437,F,5,1993.94,266.91,2.68,,,
437,F,6,3079.67,284.53,2.72,,,
437,F,7,1888.13,325.88,2.71,,,
486,F,1,2317.93,128.14,2.24,,,
486,F,2,1549.71,251.91,2.85,,,
486,F,3,2553.48,311.36,2.56,,,
486,F,4,1642.29,284.43,2.64,,,
486,F,5,2829.79,260.21,2.94,,,
486,F,6,3090.08,253.13,2.90,,,
486,F,7,1575.85,205.80,2.95,,,
514,F,1,1935.43,306.84,2.99,,,
514,F,2,2711.88,162.13,2.63,,,
514,F,3,938.11,148.89,2.54,,,
514,F,4,1297.02,302.18,2.68,,,
514,F,5,873.54,220.29,3.04,,,
514,F,6,1569.21,184.71,2.99,,,
514,F,7,1280.14,201.60,2.84,,,
517,F,1,2151.69,191.92,2.35,,,
517,F,2,1233.89,238.68,3.33,,,
517,F,3,3423.57,242.78,2.44,,,
517,F,5,1329.14,224.99,2.83,,,
517,F,6,2289.78,166.17,2.83,,,
517,F,7,1722.37,181.45,3.29,,,
555,F,1,2637.46,253.96,2.76,,,
555,F,2,2634.17,210.70,2.48,,,
555,F,3,1958.02,260.72,2.57,,,
555,F,4,2378.77,359.78,2.38,,,
555,F,5,2221.05,211.65,2.49,,,
555,F,6,1288.56,248.32,2.65,,,
555,F,7,2914.17,285.95,2.62,,,
555,F,8,1431.97,148.22,2.44,,,
555,F,9,2304.05,166.87,2.55,,,
555,F,10,2394.00,188.83,2.83,,,
639,F,1,2413.89,199.16,2.71,,,
639,F,2,2824.69,291.28,2.50,,,
639,F,3,2546.15,236.62,2.45,,,
639,F,4,1730.38,186.48,2.60,,,
639,F,6,2415.73,238.60,2.71,,,
639,F,7,1705.00,310.47,3.05,,,
705,F,1,2183.64,255.52,2.69,,,
705,F,2,2011.64,254.93,2.78,,,
705,F,3,1695.38,334.87,2.78,,,
705,F,4,1494.67,191.09,3.23,,,
705,F,5,1789.71,317.59,2.84,,,
705,F,6,1773.23,265.21,2.78,,,
705,F,7,1284.36,321.40,1.55,,,
707,F,1,2303.58,209.49,2.67,,,
707,F,2,3534.03,338.03,2.40,,,
707,F,3,2898.45,221.64,2.63,,,
707,F,4,2549.04,304.86,2.09,,,
707,F,5,1287.56,236.52,2.84,,,
707,F,6,1817.92,158.35,2.64,,,
707,F,7,2390.39,295.83,2.59,,,
712,F,1,2672.44,274.21,2.49,,,
712,F,2,1612.35,368.27,.,,,
712,F,3,2236.71,242.66,2.54,,,
712,F,4,2101.52,398.13,3.10,,,
712,F,5,1915.48,154.17,2.77,,,
712,F,6,1872.60,153.66,3.18,,,
712,F,7,1545.26,203.27,2.57,,,
714,F,1,2266.90,144.68,2.68,,,
714,F,2,1761.49,217.06,2.48,,,
714,F,3,1525.92,159.67,2.86,,,
714,F,4,2609.92,320.63,3.30,,,
714,F,5,1568.24,244.23,2.43,,,
714,F,6,2230.03,281.22,2.56,,,
714,F,7,2616.16,246.48,2.72,,,
730,F,1,1983.60,221.96,2.80,,,
730,F,2,1734.42,162.58,2.80,,,
730,F,3,2531.85,195.48,2.40,,,
730,F,4,1434.77,149.60,3.10,,,
730,F,5,1565.68,157.89,3.00,,,
730,F,6,2970.66,313.66,2.80,,,
730,F,7,3320.71,234.01,2.81,,,
732,F,1,2697.15,158.37,2.70,,,
732,F,2,2824.78,136.27,2.54,,,
732,F,3,3289.53,208.50,2.40,,,
732,F,4,3125.91,204.24,2.60,,,
732,F,5,1654.28,221.21,3.20,,,
732,F,6,2720.47,339.35,3.30,,,
732,F,7,2517.63,276.84,2.90,,,
765,F,1,1768.53,185.76,2.65,,,
765,F,2,1385.31,350.81,2.71,,,
765,F,3,1384.58,406.37,2.59,,,
765,F,4,1377.39,403.84,2.88,,,
765,F,5,1608.69,402.07,2.61,,,
765,F,7,1771.06,203.04,3.09,,,
765,F,8,2322.13,201.75,2.74,,,
774,F,1,1873.46,212.95,2.80,,,
774,F,2,1960.55,235.29,2.40,,,
774,F,3,2557.32,265.33,2.50,,,
774,F,4,2754.77,206.62,2.65,,,
774,F,5,3643.86,185.46,2.71,,,
774,F,6,1956.54,100.13,2.73,,,
774,F,7,2296.96,182.44,2.79,,,
786,F,1,3361.91,227.10,2.30,,,
786,F,2,1580.21,375.98,2.90,,,
786,F,3,2248.97,162.25,2.60,,,
786,F,4,1202.57,180.13,3.02,,,
786,F,5,1743.55,181.60,2.60,,,
786,F,6,2302.84,167.16,2.85,,,
786,F,7,2196.46,337.62,2.20,,,
799,F,1,1453.22,228.02,2.95,,,
799,F,2,1774.29,233.79,2.73,,,
799,F,3,1724.65,221.52,2.69,,,
799,F,4,1137.41,294.88,2.77,,,
799,F,5,1675.54,303.74,2.62,,,
799,F,6,1206.59,193.56,2.67,,,
799,F,7,1752.70,278.88,2.44,,,
820,F,1,2092.15,163.83,2.65,,,
820,F,2,2501.94,170.23,2.65,,,
820,F,3,2690.11,211.94,2.65,,,
820,F,4,2915.40,222.88,2.75,,,
820,F,5,2479.84,258.65,2.75,,,
820,F,6,2688.03,220.89,2.75,,,
820,F,7,1819.47,195.86,2.30,,,
852,F,1,2788.08,198.14,2.48,,,
852,F,2,3021.33,196.86,2.83,,,
852,F,3,2395.13,260.76,2.60,,,
852,F,4,2948.27,165.10,2.45,,,
852,F,5,1837.82,515.36,.,,,
852,F,6,3511.83,324.00,2.64,,,
852,F,7,2073.44,315.07,3.30,,,
859,F,1,2286.28,276.92,2.45,,,
859,F,2,2527.06,295.90,2.59,,,
859,F,3,3050.25,328.20,2.67,,,
859,F,4,2633.61,312.74,2.99,,,
859,F,5,1496.20,244.26,2.96,,,
859,F,6,1594.85,246.79,2.86,,,
208,M,1,1971.28,270.87,2.49,,,
208,M,2,1042.69,222.05,3.30,,,
208,M,3,1692.63,228.14,2.48,,,
208,M,4,2053.67,204.35,2.49,,,
208,M,5,1975.93,238.01,2.72,,,
208,M,6,1233.36,125.89,3.20,,,
208,M,7,1748.45,165.72,3.30,,,
301,M,1,1863.49,216.76,2.50,,,
301,M,2,2205.78,173.50,2.39,,,
301,M,3,2031.53,232.84,2.42,,,
301,M,4,1618.62,271.44,2.59,,,
301,M,5,1543.42,260.81,2.40,,,
301,M,6,1372.77,288.44,2.44,,,
301,M,7,1704.41,313.32,2.57,,,
303,M,1,1838.13,214.29,2.68,,,
303,M,2,1623.05,228.39,2.76,,,
303,M,3,1799.69,164.37,2.51,,,
303,M,4,2638.18,215.28,2.47,,,
303,M,5,2335.80,227.59,2.88,,,
303,M,6,2102.20,177.80,2.65,,,
303,M,7,1652.55,183.91,2.74,,,
304,M,1,1618.06,185.72,2.43,,,
304,M,2,1504.26,136.89,2.51,,,
304,M,3,1274.91,225.07,2.59,,,
304,M,4,2105.30,288.43,2.64,,,
304,M,5,1548.23,445.23,2.47,,,
304,M,6,1716.32,369.78,2.66,,,
304,M,7,1439.04,325.36,2.54,,,
306,M,1,1436.23,218.18,2.32,,,
306,M,2,1079.14,83.42,2.70,,,
306,M,3,1260.48,120.42,2.64,,,
306,M,4,1235.67,159.75,2.69,,,
306,M,5,1204.72,182.23,2.75,,,
306,M,6,1802.41,192.91,3.17,,,
306,M,7,1580.33,193.13,2.79,,,
307,M,1,726.16,154.39,3.03,,,
307,M,2,952.11,398.86,2.52,,,
307,M,3,661.89,196.89,3.17,,,
307,M,4,711.76,231.85,3.26,,,
307,M,5,911.73,171.27,3.58,,,
307,M,6,987.22,236.70,2.82,,,
313,M,1,1545.06,209.23,2.69,,,
313,M,2,874.97,212.31,2.76,,,
313,M,3,885.48,278.63,3.05,,,
313,M,4,1509.93,295.28,2.62,,,
313,M,5,1268.90,358.38,2.49,,,
313,M,6,1029.65,139.65,2.97,,,
313,M,7,1216.74,194.27,3.24,,,
315,M,1,1704.61,111.32,2.70,,,
315,M,2,2679.21,153.04,2.40,,,
315,M,3,2766.93,153.93,2.58,,,
315,M,4,2205.79,218.59,2.55,,,
315,M,5,2085.38,267.53,2.39,,,
315,M,6,1737.36,242.04,2.27,,,
315,M,7,2367.95,317.69,2.20,,,
324,M,1,1574.13,189.59,2.58,,,
324,M,2,1744.70,391.85,2.05,,,
324,M,4,1738.47,185.85,3.08,,,
324,M,5,1231.67,252.82,2.68,,,
324,M,6,1569.55,173.71,2.88,,,
324,M,7,1460.41,257.37,2.69,,,
324,M,8,1500.75,200.74,2.82,,,
335,M,1,1029.42,200.78,3.17,,,
335,M,2,941.66,217.86,3.24,,,
335,M,3,1276.42,247.05,2.79,,,
335,M,4,847.08,300.23,2.65,,,
335,M,5,865.72,288.86,2.67,,,
335,M,6,1220.85,210.12,2.74,,,
357,M,1,1245.34,263.35,2.47,,,
357,M,2,1468.11,336.30,2.61,,,
357,M,3,988.73,227.03,3.47,,,
357,M,4,851.71,255.03,3.25,,,
357,M,5,875.82,260.65,3.61,,,
357,M,6,1402.25,243.77,2.99,,,
357,M,7,1681.92,246.09,2.84,,,
358,M,1,1329.04,289.50,.,,,
358,M,2,1908.63,234.44,2.74,,,
358,M,3,1852.73,241.65,2.75,,,
358,M,4,2513.24,198.86,2.48,,,
358,M,5,972.65,123.34,.,,,
358,M,6,1325.20,220.03,.,,,
358,M,7,906.36,153.16,2.65,,,
360,M,1,955.53,204.80,.,,,
360,M,2,2018.19,204.60,2.48,,,
360,M,3,1360.66,241.54,2.59,,,
360,M,4,1325.60,245.17,2.89,,,
360,M,5,2238.72,196.46,2.74,,,
360,M,6,1614.86,193.23,2.94,,,
360,M,7,1446.45,198.13,3.31,,,
360,M,8,1185.55,112.75,2.78,,,
360,M,9,1031.99,163.65,.,,,
360,M,10,1200.70,116.85,2.67,,,
362,M,1,1306.54,261.87,.,,,
362,M,2,1864.64,297.63,3.12,,,
362,M,3,1372.36,251.30,3.01,,,
362,M,4,2481.95,208.45,2.41,,,
362,M,5,1049.20,192.77,.,,,
362,M,6,1074.14,336.81,2.64,,,
362,M,7,1310.87,294.14,2.32,,,
365,M,1,1038.26,289.63,.,,,
365,M,2,1079.55,260.11,.,,,
365,M,3,1750.80,229.85,2.43,,,
365,M,4,1538.09,271.95,.,,,
365,M,5,1750.00,219.20,2.21,,,
365,M,6,1530.21,360.63,2.40,,,
365,M,7,1436.65,349.64,2.34,,,
375,M,1,1876.41,266.07,2.60,,,
375,M,2,2025.31,206.30,2.56,,,
375,M,3,1705.03,214.98,2.44,,,
375,M,4,1307.63,238.37,2.95,,,
375,M,5,1353.90,194.67,3.01,,,
375,M,6,1559.59,144.15,2.93,,,
375,M,7,1360.51,145.69,3.09,,,
375,M,8,1484.02,196.11,3.26,,,
379,M,1,1837.31,185.05,2.62,,,
379,M,2,1552.10,128.07,2.82,,,
379,M,3,2235.79,389.70,2.43,,,
379,M,4,2143.26,394.09,1.93,,,
379,M,5,1042.08,237.54,2.44,,,
379,M,6,2152.33,418.73,1.89,,,
379,M,7,1657.75,299.94,2.55,,,
380,M,1,1042.42,199.76,2.43,,,
380,M,2,887.56,218.41,.,,,
380,M,3,764.77,207.75,.,,,
380,M,4,1077.56,173.14,2.54,,,
380,M,5,796.72,176.73,2.17,,,
380,M,6,865.78,201.50,.,,,
380,M,7,867.53,224.61,2.54,,,
391,M,1,2084.04,315.67,2.56,,,
391,M,2,1336.58,279.21,2.38,,,
391,M,3,1656.35,316.67,2.67,,,
391,M,4,1489.97,221.33,2.81,,,
391,M,5,1313.66,135.50,2.38,,,
391,M,6,1624.13,295.15,1.88,,,
391,M,7,1095.54,290.95,2.30,,,
399,M,1,1718.21,275.67,2.82,,,
399,M,2,1851.20,254.27,2.56,,,
399,M,3,1260.04,269.72,.,,,
399,M,4,2180.27,286.63,2.31,,,
399,M,5,1440.12,131.05,3.15,,,
399,M,6,1144.77,226.99,3.32,,,
399,M,7,1017.00,233.85,3.18,,,
399,M,8,1079.15,139.59,2.76,,,
399,M,9,892.78,104.35,2.89,,,
399,M,10,922.88,126.33,3.15,,,
427,M,1,1707.11,148.01,2.63,,,
427,M,2,1906.36,138.23,2.52,,,
427,M,3,1514.71,173.57,2.73,,,
427,M,4,1501.79,168.29,2.58,,,
427,M,5,1880.46,171.11,2.50,,,
427,M,6,1712.26,202.55,2.75,,,
427,M,7,1425.60,180.83,2.48,,,
437,M,1,2056.17,234.65,2.51,,,
437,M,2,2373.36,234.75,2.65,,,
437,M,3,1666.71,312.87,2.66,,,
437,M,4,1324.54,144.59,2.78,,,
437,M,5,1637.08,244.92,2.99,,,
437,M,6,1448.12,174.95,2.78,,,
437,M,7,1380.34,196.78,2.92,,,
486,M,1,1450.71,169.57,2.49,,,
486,M,2,2017.01,271.90,2.67,,,
486,M,3,816.37,244.42,3.07,,,
486,M,4,1842.13,297.12,2.86,,,
486,M,5,1793.65,260.65,2.86,,,
486,M,6,1066.23,273.40,3.19,,,
486,M,7,1629.25,279.86,2.78,,,
486,M,8,1784.51,253.79,2.74,,,
514,M,1,1315.86,175.39,.,,,
514,M,2,856.78,244.79,.,,,
514,M,3,1603.09,164.01,2.67,,,
514,M,4,1481.77,196.71,2.34,,,
514,M,5,1297.02,302.18,2.68,,,
514,M,6,953.80,367.48,2.73,,,
514,M,7,1267.14,227.84,2.92,,,
514,M,8,1126.92,213.97,2.97,,,
517,M,1,2602.85,153.69,2.49,,,
517,M,2,2427.05,188.86,2.43,,,
517,M,3,1937.22,241.34,2.90,,,
517,M,4,2030.56,164.71,2.48,,,
517,M,5,1680.78,122.74,2.63,,,
517,M,6,1802.29,184.45,2.77,,,
517,M,7,1978.21,188.18,2.87,,,
555,M,1,1659.64,217.86,2.70,,,
555,M,2,2368.41,240.71,2.72,,,
555,M,3,2353.23,186.58,2.53,,,
555,M,4,1525.39,221.24,2.68,,,
555,M,5,1362.97,236.45,.,,,
555,M,6,1703.40,138.65,2.85,,,
555,M,7,1277.11,293.06,2.51,,,
639,M,1,811.48,106.25,.,,,
639,M,2,1188.96,122.55,.,,,
639,M,3,2097.62,159.68,2.82,,,
639,M,4,2006.22,250.87,2.70,,,
639,M,5,1761.69,165.25,2.42,,,
639,M,6,1172.90,213.53,3.19,,,
639,M,7,1841.15,291.40,2.89,,,
705,M,1,1733.74,324.51,2.86,,,
705,M,2,1032.89,195.74,3.04,,,
705,M,3,1297.30,234.34,3.14,,,
705,M,4,1382.63,323.44,2.89,,,
705,M,5,1306.01,276.42,2.92,,,
705,M,6,1526.01,310.43,2.65,,,
705,M,7,1943.74,282.54,2.60,,,
707,M,1,1840.89,271.06,2.68,,,
707,M,2,1815.08,242.70,2.56,,,
707,M,3,2244.69,239.66,2.62,,,
707,M,4,1617.08,353.45,2.68,,,
707,M,5,2231.72,232.79,2.64,,,
707,M,6,1180.38,257.72,2.49,,,
707,M,7,1263.86,272.09,2.61,,,
712,M,1,1229.46,279.08,.,,,
712,M,2,1517.34,255.21,3.17,,,
712,M,3,1493.07,240.60,3.09,,,
712,M,4,898.59,293.43,.,,,
712,M,5,1227.95,150.46,2.96,,,
712,M,6,819.98,172.67,.,,,
712,M,7,1081.90,152.23,3.10,,,
712,M,8,1586.91,155.96,2.73,,,
714,M,1,1469.28,135.10,2.70,,,
714,M,2,2051.71,258.34,2.76,,,
714,M,3,1733.73,286.49,2.29,,,
714,M,4,2164.59,377.08,2.16,,,
714,M,6,1955.65,203.76,2.70,,,
714,M,7,1597.97,180.50,2.71,,,
714,M,8,1739.72,216.88,3.06,,,
714,M,9,1545.53,210.26,2.73,,,
730,M,1,1953.45,198.80,2.62,,,
730,M,2,1576.10,142.93,2.80,,,
730,M,3,2242.45,282.27,2.50,,,
730,M,4,1602.71,215.00,2.70,,,
730,M,5,2042.93,159.30,2.58,,,
730,M,6,2253.36,178.08,2.70,,,
730,M,7,2032.98,211.37,2.90,,,
730,M,8,1499.04,235.97,2.80,,,
730,M,9,2410.17,190.70,2.60,,,
732,M,1,1706.59,87.72,2.80,,,
732,M,2,1935.44,151.42,2.58,,,
732,M,4,1451.31,155.85,2.90,,,
732,M,5,2528.60,193.37,2.70,,,
732,M,6,901.80,211.66,2.00,,,
732,M,7,1612.74,309.15,2.40,,,
765,M,1,1046.39,337.49,2.59,,,
765,M,2,1129.16,146.24,2.80,,,
765,M,3,1119.53,309.66,2.61,,,
765,M,4,1041.53,147.02,2.78,,,
765,M,5,1286.89,157.19,2.56,,,
765,M,6,1307.01,190.43,2.51,,,
765,M,7,1730.95,208.70,2.53,,,
774,M,1,1494.13,244.76,2.73,,,
774,M,2,1421.64,212.22,2.84,,,
774,M,3,1490.44,217.99,2.73,,,
774,M,4,1555.89,226.22,2.80,,,
774,M,5,1759.57,179.67,2.66,,,
774,M,6,1386.14,137.55,2.67,,,
774,M,7,1081.70,200.50,2.96,,,
786,M,1,1086.27,283.52,.,,,
786,M,2,3043.40,218.66,2.36,,,
786,M,3,2314.42,152.38,2.80,,,
786,M,4,1210.60,200.28,2.70,,,
786,M,5,1892.58,200.53,2.60,,,
786,M,6,2006.56,230.71,2.09,,,
786,M,7,1792.87,261.40,2.20,,,
799,M,1,1384.07,234.44,2.96,,,
799,M,2,1246.72,274.23,2.93,,,
799,M,4,1430.67,298.61,2.03,,,
799,M,5,1161.76,256.06,2.56,,,
799,M,6,1125.79,337.15,2.95,,,
799,M,7,1180.74,334.12,2.76,,,
820,M,1,975.20,143.31,2.60,,,
820,M,2,1174.33,98.73,2.80,,,
820,M,3,1667.03,148.51,3.15,,,
820,M,4,1837.03,169.33,3.15,,,
820,M,5,1684.03,175.76,2.90,,,
820,M,6,1913.69,85.16,3.20,,,
820,M,7,2182.23,195.84,2.80,,,
852,M,1,1691.97,128.21,2.58,,,
852,M,2,1561.24,151.31,2.63,,,
852,M,3,1724.09,368.72,2.38,,,
852,M,4,1555.53,277.99,2.73,,,
852,M,5,1779.32,186.68,2.83,,,
852,M,6,1886.08,111.09,2.66,,,
852,M,7,1482.22,264.66,2.90,,,
859,M,1,2096.81,211.84,2.64,,,
859,M,2,1372.00,224.20,2.79,,,
859,M,3,1839.47,319.60,2.75,,,
859,M,4,1703.67,371.27,2.93,,,
859,M,5,1419.53,283.96,2.58,,,
859,M,6,1535.15,189.40,2.69,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,