Genotype,date,learning,observer,PreEA,PreC,PostEA,PostC,pre_tot,post_tot,learning.score
391/,3/20/12,S,EN,19,17,11,23,36,34,0.204248366
391/,3/28/12,S,PV,33,12,19,5,45,24,-0.058333333
391/,4/5/12,S,NG,9,28,12,22,37,34,-0.109697933
391/,8/8/13,S,AN,34,11,24,24,45,48,0.255555556
398/,9/13/13,L,DG,25,16,16,13,41,29,0.05803196
398/,9/17/13,L,AN,31,12,23,12,43,35,0.063787375
398/,9/26/13,L,AR,28,9,24,15,37,39,0.141372141
398/,3/26/13,S,MB,34,9,17,14,43,31,0.242310578
398/,9/13/13,S,DG,30,16,16,17,46,33,0.167325428
398/,9/17/13,S,AN,12,10,2,11,22,13,0.391608392
399/,10/30/12,L,NG,16,18,9,15,34,24,0.095588235
399/,6/14/13,L,AN,29,18,20,13,47,33,0.010960671
399/,6/20/13,L,SF,33,9,26,15,42,41,0.151567944
399/,8/2/12,S,LP,25,17,10,11,42,21,0.119047619
399/,11/1/12,S,NG,28,18,20,27,46,47,0.183163737
399/,6/14/13,S,AN,24,16,12,6,40,18,-0.066666667
40/,11/5/14,L,LH,17,16,12,5,33,17,-0.190730838
40/,11/18/14,L,LH,18,16,6,3,34,9,-0.137254902
40/,12/11/14,L,KS,23,15,11,12,38,23,0.127002288
40/,2/17/15,L,DG,17,15,13,15,32,28,0.066964286
40/,11/18/14,S,LH,18,17,15,19,35,34,0.073109244
40/,11/25/14,S,JG,30,15,12,4,45,16,-0.083333333
40/,12/11/14,S,KS,14,29,9,19,43,28,0.004152824
405/,11/8/13,L,KA,38,7,23,12,45,35,0.187301587
405/,11/14/13,L,AR,32,11,28,11,43,39,0.026237329
405/,11/26/13,L,AN,30,12,16,17,42,33,0.229437229
405/,11/8/13,S,KA,26,14,24,18,40,42,0.078571429
405/,11/14/13,S,AR,31,10,6,11,41,17,0.403156385
405/,11/19/13,S,DG,15,18,9,15,33,24,0.079545455
42/,5/14/13,L,SL,29,14,20,23,43,43,0.209302326
42/,5/20/13,L,AR,38,6,29,14,44,43,0.189217759
42/,5/21/13,L,SL,33,10,15,26,43,41,0.401588202
42/,3/20/13,S,SL,19,17,6,7,36,13,0.066239316
42/,3/25/13,S,KL,30,10,16,14,40,30,0.216666667
42/,5/7/13,S,MB,28,9,15,17,37,32,0.288006757
426/,4/24/13,L,AR,29,7,15,13,36,28,0.26984127
426/,5/15/13,L,AR,29,13,22,16,42,38,0.111528822
426/,6/4/13,L,MK,26,9,12,15,35,27,0.298412698
426/,3/26/13,S,MB,31,15,11,11,46,22,0.173913043
426/,4/24/13,S,AR,32,7,22,12,39,34,0.173453997
426/,5/15/13,S,AR,19,13,13,11,32,24,0.052083333
427/,7/16/12,L,EN,26,12,16,13,38,29,0.132486388
427/,6/28/13,L,AN,41,6,27,15,47,42,0.229483283
427/,7/16/12,S,EN,30,12,12,16,42,28,0.285714286
427/,6/28/13,S,AN,29,20,19,22,49,41,0.128422101
427/,7/3/13,L,AN,31,4,22,20,35,42,0.361904762
427/,7/3/13,S,AN,33,7,18,17,40,35,0.310714286
437/,4/4/12,L,PV,21,18,13,12,39,25,0.018461538
437/,7/9/13,L,AN,43,6,27,17,49,44,0.263914657
437/,10/23/13,L,KA,26,21,20,12,47,32,-0.071808511
437/,4/4/12,S,PV,25,25,14,20,50,34,0.088235294
437/,4/5/12,S,NG,21,7,10,16,28,26,0.365384615
437/,7/9/13,S,AN,34,11,12,21,45,33,0.391919192
437/,7/15/13,L,KL,27,9,18,13,36,31,0.169354839
440/,10/16/12,L,NG,24,20,16,24,44,40,0.145454545
440/,6/27/13,L,SL,22,9,20,16,31,36,0.154121864
440/,7/3/13,L,AN,33,13,18,13,46,31,0.136746143
440/,10/16/12,S,NG,24,16,10,16,40,26,0.215384615
440/,6/27/13,S,SL,21,10,11,16,31,27,0.270011947
440/,7/3/13,S,AN,25,16,12,6,41,18,-0.056910569
441/,10/25/13,L,DG,33,14,23,19,47,42,0.154508612
441/,11/27/13,L,JG,14,12,15,13,26,28,0.002747253
441/,11/27/13,S,JG,16,9,10,11,25,21,0.163809524
441/,12/9/13,S,JG,33,11,22,8,44,30,0.016666667
441/,10/18/13,L,DG,27,19,12,7,46,19,-0.044622426
441/,10/18/13,S,DG,25,20,7,26,45,33,0.343434343
45/,10/25/12,L,NG,26,23,16,31,49,47,0.190186713
45/,5/1/13,L,KA,26,7,8,7,33,15,0.254545455
45/,5/16/13,L,SL,29,12,13,17,41,30,0.27398374
45/,10/26/12,S,EN,17,19,14,8,36,22,-0.164141414
45/,5/16/13,S,SL,27,16,15,15,43,30,0.127906977
45/,5/22/13,S,AR,26,13,6,10,39,16,0.291666667
486/,3/11/13,L,KL,14,7,10,15,21,25,0.266666667
486/,5/9/13,L,MB,36,7,22,16,43,38,0.258261934
486/,6/5/13,L,MK,28,20,24,11,48,35,-0.102380952
486/,3/11/13,S,KL,16,7,10,9,23,19,0.169336384
486/,5/9/13,S,MB,31,10,16,17,41,33,0.271249076
486/,7/5/13,S,AN,20,18,16,13,38,29,-0.025408348
491/,3/19/13,L,SL,28,10,15,15,38,30,0.236842105
491/,5/28/13,L,SL,20,8,15,12,28,27,0.158730159
491/,6/6/13,L,SF,29,14,20,12,43,32,0.049418605
491/,3/19/13,S,SL,30,14,16,19,44,35,0.224675325
491/,5/1/13,S,KA,29,15,20,16,44,36,0.103535354
491/,5/28/13,S,SL,24,15,9,8,39,17,0.085972851
492/,5/23/13,L,JG,16,7,17,9,23,26,0.04180602
492/,6/6/13,L,SF,24,14,17,23,38,40,0.206578947
492/,7/2/13,L,MK,28,18,20,26,46,46,0.173913043
492/,4/5/13,S,KL,24,8,13,12,32,25,0.23
492/,5/2/13,S,LT,35,14,30,20,49,50,0.114285714
492/,7/2/13,S,MK,29,14,25,12,43,37,-0.001257071
508/,11/10/14,L,DG,22,16,14,15,38,29,0.096188748
508/,11/26/14,L,JG,22,8,10,6,30,16,0.108333333
508/,12/12/14,L,DG,23,18,5,30,41,35,0.418118467
508/,11/10/14,S,DG,20,14,8,13,34,21,0.207282913
508/,11/17/14,S,DG,26,11,5,9,37,14,0.345559846
508/,12/12/14,S,DG,25,21,1,9,46,10,0.443478261
508/,1/30/15,S,BY,15,4,0,0,19,0,NA
508/,2/10/15,S,DG,20,21,13,24,41,37,0.136453527
508/,2/17/15,S,DG,22,19,12,18,41,30,0.136585366
513/,2/3/15,L,DG,17,11,34,4,28,38,-0.287593985
513/,3/17/15,L,JG,22,33,17,22,55,39,-0.035897436
513/,4/2/15,L,KS,13,10,4,5,23,9,0.120772947
513/,4/7/15,L,AN,11,24,9,14,35,23,-0.077018634
513/,4/15/15,L,AZ,27,12,16,11,39,27,0.0997151
513/,2/11/15,S,YE,22,16,14,15,38,29,0.096188748
513/,2/26/15,S,JG,4,5,1,3,9,4,0.194444444
513/,3/4/15,S,AZ,19,17,13,16,36,29,0.079501916
513/,3/11/15,S,AZ,24,17,18,15,41,33,0.039911308
513/,4/22/15,S,AZ,22,17,15,16,39,31,0.080231596
517/,4/4/12,L,PV,25,9,10,15,34,25,0.335294118
517/,7/8/13,L,KL,26,8,13,11,34,24,0.223039216
517/,7/10/13,L,MK,32,8,19,22,40,41,0.336585366
517/,4/4/12,S,PV,30,11,20,9,41,29,0.042052145
517/,7/8/13,S,KL,24,8,4,7,32,11,0.386363636
517/,7/10/13,S,MK,21,25,23,15,46,38,-0.148741419
531/,5/27/14,L,JG,19,6,13,16,25,29,0.311724138
531/,7/2/14,L,AS,30,11,5,14,41,19,0.468549422
531/,8/12/14,L,AS,20,25,18,16,45,34,-0.08496732
531/,5/27/14,S,JG,23,7,13,5,30,18,0.044444444
531/,7/2/14,S,AS,26,16,6,11,42,17,0.266106443
531/,7/17/14,S,JG,34,13,13,19,47,32,0.317154255
535/,10/12/12,L,SL,15,19,10,13,34,23,0.006393862
535/,6/14/13,L,AN,28,16,15,20,44,35,0.207792208
535/,6/18/13,L,MK,29,18,18,15,47,33,0.071566731
535/,7/30/12,S,EN,22,11,13,11,33,24,0.125
535/,6/14/13,S,AN,23,9,9,18,32,27,0.385416667
535/,6/18/13,S,MK,13,24,6,10,37,16,-0.023648649
555/,2/8/13,L,KL,12,12,8,8,24,16,0
555/,4/10/13,L,KA,34,17,16,11,51,27,0.074074074
555/,5/23/13,L,JG,21,12,17,17,33,34,0.136363636
555/,3/7/13,S,MB,21,22,23,20,43,43,-0.046511628
555/,3/8/13,S,KL,18,7,8,6,25,14,0.148571429
555/,4/10/13,S,KA,32,11,16,12,43,28,0.172757475
563/,11/4/14,L,LH,16,22,5,7,38,12,0.004385965
563/,12/12/14,L,DG,33,11,12,10,44,22,0.204545455
563/,2/5/15,L,YE,19,11,13,10,30,23,0.068115942
563/,2/24/15,L,AN,17,16,16,12,33,28,-0.056277056
563/,4/3/15,L,BY,18,10,5,6,28,11,0.188311688
563/,4/24/15,L,BY,20,12,8,9,32,17,0.154411765
563/,11/4/14,S,LH,12,6,3,8,18,11,0.393939394
563/,12/12/14,S,DG,22,11,2,2,33,4,0.166666667
563/,2/24/15,S,AN,11,4,16,14,15,30,0.2
563/,3/5/15,S,KS,5,9,2,6,14,8,0.107142857
563/,3/12/15,S,JG,28,11,9,11,39,20,0.267948718
563/,4/13/15,S,LH,11,13,4,12,24,16,0.208333333
57/,9/23/13,L,MK,30,14,21,17,44,38,0.129186603
57/,9/27/13,L,DG,30,14,19,10,44,29,0.026645768
57/,10/3/13,L,AR,33,7,20,12,40,32,0.2
57/,10/30/13,L,KA,36,7,22,14,43,36,0.226098191
57/,9/23/13,S,MK,29,15,16,10,44,26,0.043706294
57/,9/27/13,S,DG,24,17,15,14,41,29,0.068124474
57/,10/3/13,S,AR,34,10,10,19,44,29,0.427899687
57/,10/8/13,S,AN,19,15,13,17,34,30,0.125490196
59/,7/19/12,L,EN,24,20,13,24,44,37,0.194103194
59/,6/17/13,L,SL,20,17,9,21,37,30,0.240540541
59/,6/25/13,L,MK,29,14,17,15,43,32,0.143168605
59/,4/16/12,S,EN,25,11,5,15,36,20,0.444444444
59/,6/17/13,S,SL,25,16,19,16,41,35,0.066898955
59/,6/25/13,S,MK,23,15,4,14,38,18,0.383040936
595/,9/25/13,L,KA,31,16,30,13,47,43,-0.038099951
595/,10/4/13,L,KA,35,4,17,13,39,30,0.330769231
595/,10/10/13,L,AR,39,7,23,18,46,41,0.286850477
595/,11/12/13,L,DG,35,9,17,14,44,31,0.247067449
595/,10/4/13,S,KA,26,12,18,14,38,32,0.121710526
595/,10/10/13,S,AR,33,12,16,14,45,30,0.2
595/,10/21/13,S,KA,36,6,27,16,42,43,0.22923588
595/,11/1/13,S,DG,17,6,10,10,23,20,0.239130435
639/,2/8/13,L,KL,15,8,15,10,23,25,0.052173913
639/,3/20/13,L,SL,15,11,6,11,26,17,0.2239819
639/,4/4/13,L,MB,9,7,11,15,16,26,0.139423077
639/,4/22/13,L,LT,25,10,13,13,35,26,0.214285714
639/,5/2/13,L,LT,38,9,20,16,47,36,0.252955083
639/,7/23/12,S,EN,20,17,12,14,37,26,0.079002079
639/,2/8/13,S,KL,17,6,14,7,23,21,0.072463768
639/,3/20/13,S,SL,20,15,5,8,35,13,0.186813187
639/,4/4/13,S,MB,13,20,16,16,33,32,-0.106060606
639/,4/5/13,S,KL,29,9,13,11,38,24,0.221491228
639/,4/22/13,S,LT,28,9,9,13,37,22,0.347665848
639/,5/2/13,S,LT,33,7,15,15,40,30,0.325
707/,3/27/13,L,AR,28,12,7,5,40,12,0.116666667
707/,6/6/13,L,SF,35,8,22,15,43,37,0.219358894
707/,6/28/13,L,AN,38,8,20,15,46,35,0.254658385
707/,3/27/13,S,AR,36,13,9,19,49,28,0.413265306
707/,6/6/13,S,SF,37,5,12,6,42,18,0.214285714
707/,6/28/13,S,AN,36,12,28,12,48,40,0.05
712/,8/6/12,L,EN,20,13,4,7,33,11,0.242424242
712/,7/9/13,L,AN,41,4,24,21,45,45,0.377777778
712/,7/10/13,L,MK,21,19,23,15,40,38,-0.080263158
712/,10/23/13,L,KA,28,6,11,14,34,25,0.383529412
712/,8/6/12,S,EN,27,14,11,10,41,21,0.134727062
712/,7/9/13,S,AN,30,16,13,8,46,21,0.033126294
712/,7/10/13,S,MK,33,8,16,19,41,35,0.347735192
714/,2/12/13,L,MB,26,9,6,6,35,12,0.242857143
714/,6/5/13,L,MK,29,12,18,15,41,33,0.161862528
714/,1/29/13,S,MB,17,10,4,8,27,12,0.296296296
714/,2/12/13,S,MB,21,11,12,14,32,26,0.194711538
714/,3/27/13,S,AR,33,7,17,13,40,30,0.258333333
714/,7/3/13,L,AN,40,6,15,27,46,42,0.51242236
716/,2/4/15,L,YE,27,14,8,11,41,19,0.237483954
716/,2/12/15,L,KS,10,13,11,4,23,15,-0.298550725
716/,2/18/15,L,YE,17,12,13,5,29,18,-0.136015326
716/,2/4/15,S,YE,14,21,5,8,35,13,0.015384615
716/,2/12/15,S,KS,11,11,6,9,22,15,0.1
716/,2/26/15,S,JG,10,10,7,7,20,14,0
716/,3/4/15,S,AZ,21,17,15,13,38,28,0.016917293
716/,3/11/15,S,AZ,18,11,14,13,29,27,0.102171137
721/,7/21/14,L,AS,15,17,19,10,32,29,-0.186422414
721/,7/24/14,L,AS,21,20,11,8,41,19,-0.066752246
721/,8/21/14,L,AS,34,12,16,12,46,28,0.167701863
721/,7/25/12,S,LP,17,32,19,21,49,40,-0.128061224
721/,7/17/14,S,JG,33,13,22,18,46,40,0.167391304
721/,7/24/14,S,AS,27,12,11,17,39,28,0.299450549
73/,3/4/13,L,LT,16,3,9,10,19,19,0.368421053
73/,4/18/13,L,MB,25,23,17,11,48,28,-0.086309524
73/,5/23/13,L,JG,20,9,15,19,29,34,0.248478702
73/,2/21/13,S,KA,37,8,29,16,45,45,0.177777778
73/,3/4/13,S,LT,14,11,8,8,25,16,0.06
73/,3/11/13,S,KL,29,20,10,12,49,22,0.13729128
73/,4/18/13,S,MB,21,29,18,19,50,37,-0.066486486
730/,11/13/12,L,NG,19,14,16,17,33,33,0.090909091
730/,6/14/13,L,AN,26,17,14,19,43,33,0.180408739
730/,6/18/13,L,MK,25,17,14,21,42,35,0.195238095
730/,11/13/12,S,NG,22,14,17,18,36,35,0.125396825
730/,6/14/13,S,AN,28,11,13,10,39,23,0.152731327
730/,6/18/13,S,MK,31,8,20,15,39,35,0.223443223
732/,7/25/12,L,LP,38,12,18,20,50,38,0.286315789
732/,6/14/13,L,AN,36,15,10,6,51,16,0.080882353
732/,6/20/13,L,SF,25,18,21,14,43,35,-0.018604651
732/,7/25/12,S,LP,27,17,15,18,44,33,0.159090909
732/,6/14/13,S,AN,27,20,20,15,47,35,0.003039514
732/,6/20/13,S,SF,37,13,16,12,50,28,0.168571429
738/,2/14/13,L,MB,12,21,8,9,33,17,-0.106951872
738/,3/28/13,L,MB,21,13,15,16,34,31,0.133776091
738/,4/30/13,L,MB,37,3,10,13,40,23,0.490217391
738/,2/14/13,S,MB,28,15,13,17,43,30,0.217829457
738/,4/30/13,S,MB,36,6,13,20,42,33,0.463203463
738/,5/1/13,S,KA,23,17,19,9,40,28,-0.103571429
738/,5/8/13,S,KA,31,11,9,11,42,20,0.288095238
765/,4/24/13,L,AR,18,14,21,15,32,36,-0.020833333
765/,5/16/13,L,SL,22,20,21,16,42,37,-0.043758044
765/,5/22/13,L,AR,34,13,19,8,47,27,0.019700552
765/,2/8/13,S,KL,16,7,7,11,23,18,0.306763285
765/,3/14/13,S,KA,29,14,13,16,43,29,0.226142743
765/,4/24/13,S,AR,25,12,21,14,37,35,0.075675676
774/,3/20/12,L,EN,13,11,10,12,24,22,0.087121212
774/,8/15/12,L,SL,25,12,3,3,37,6,0.175675676
774/,6/20/13,L,SF,24,14,17,9,38,26,-0.022267206
774/,6/25/13,L,MK,24,17,17,8,41,25,-0.094634146
774/,9/5/13,L,AR,32,16,24,12,48,36,0
774/,8/5/14,L,AZ,17,8,6,7,25,13,0.218461538
774/,3/20/12,S,EN,22,11,16,14,33,30,0.133333333
774/,3/28/12,S,PV,29,10,16,18,39,34,0.273001508
774/,9/5/13,S,AR,22,22,9,3,44,12,-0.25
774/,8/5/14,S,AZ,32,12,16,17,44,33,0.242424242
774/,8/12/14,S,AS,19,22,15,21,41,36,0.046747967
776/,2/10/15,L,DG,27,10,16,15,37,31,0.213600697
776/,4/8/15,L,AZ,20,17,14,15,37,29,0.05778192
776/,5/11/15,L,JG,27,22,18,21,49,39,0.089481947
776/,3/3/15,S,AN,28,9,19,15,37,34,0.197933227
776/,4/8/15,S,AZ,27,18,18,13,45,31,0.019354839
776/,4/29/15,S,AZ,18,17,14,12,35,26,-0.024175824
783/,11/26/14,L,JG,19,13,16,15,32,31,0.077620968
783/,12/12/14,L,DG,30,12,10,8,42,18,0.158730159
783/,2/5/15,L,YE,19,10,14,6,29,20,-0.044827586
783/,11/14/14,S,BY,18,5,11,8,23,19,0.203661327
783/,12/12/14,S,DG,23,27,1,5,50,6,0.293333333
783/,2/5/15,S,YE,18,12,9,7,30,16,0.0375
783/,2/24/15,S,AN,19,14,2,1,33,3,-0.090909091
783/,3/6/15,S,BY,18,2,4,0,20,4,-0.1
783/,4/2/15,S,KS,16,8,5,9,24,14,0.30952381
783/,4/8/15,S,AZ,14,32,16,21,46,37,-0.128084606
783/,4/16/15,S,KS,16,16,7,2,32,9,-0.277777778
786/,11/8/12,L,NG,26,14,5,27,40,32,0.49375
786/,7/1/13,L,MK,31,15,22,21,46,43,0.162285137
786/,7/3/13,L,AN,22,17,14,24,39,38,0.195681511
786/,10/9/12,S,NG,24,17,12,16,41,28,0.156794425
786/,7/1/13,S,MK,28,13,15,14,41,29,0.16568545
786/,7/3/13,S,AN,22,12,20,14,34,34,0.058823529
787/,11/26/13,L,AN,21,18,16,16,39,32,0.038461538
787/,1/28/14,L,GM,26,17,22,14,43,36,-0.006459948
787/,2/6/14,L,GM,22,15,10,14,37,24,0.177927928
787/,11/21/13,S,AN,26,17,12,16,43,28,0.176079734
787/,1/28/14,S,GM,34,10,20,18,44,38,0.246411483
787/,2/26/14,S,JG,25,12,8,9,37,17,0.20508744
796/,9/13/12,L,SL,19,13,7,7,32,14,0.09375
796/,6/14/13,L,AN,18,16,12,8,34,20,-0.070588235
796/,7/2/13,L,MK,32,13,23,18,45,41,0.150135501
796/,7/23/12,S,EN,23,8,12,17,31,29,0.32814238
796/,6/14/13,S,AN,26,17,6,12,43,18,0.271317829
796/,7/2/13,S,MK,23,17,21,9,40,30,-0.125
799/,5/23/13,L,JG,23,13,14,22,36,36,0.25
799/,6/4/13,L,MK,30,10,14,23,40,37,0.371621622
799/,6/11/13,L,MK,25,9,13,11,34,24,0.193627451
799/,9/12/12,S,JZ,26,14,9,9,40,18,0.15
799/,4/12/13,S,KL,21,14,11,9,35,20,0.05
799/,6/11/13,S,MK,19,17,8,13,36,21,0.146825397
801/,2/17/15,L,DG,20,16,13,20,36,33,0.161616162
801/,2/25/15,L,AZ,22,15,14,18,37,32,0.157094595
801/,3/10/15,L,DG,7,12,13,6,19,19,-0.315789474
801/,2/25/15,S,AZ,18,12,14,10,30,24,0.016666667
801/,3/3/15,S,AN,13,12,11,11,25,22,0.02
801/,3/17/15,S,JG,19,23,15,9,42,24,-0.172619048
802/,6/5/12,L,NG,26,14,1,2,40,3,0.316666667
802/,6/21/12,L,NG,24,14,13,13,38,26,0.131578947
802/,6/27/13,L,SL,32,6,10,12,38,22,0.387559809
802/,7/12/13,L,AN,36,16,34,17,52,51,0.025641026
802/,6/5/12,S,NG,32,12,21,15,44,36,0.143939394
802/,10/9/12,S,NG,25,16,16,18,41,34,0.139167862
802/,7/2/13,S,MK,32,11,24,8,43,32,-0.005813953
802/,8/12/13,S,JG,25,16,7,15,41,22,0.291574279
802/,8/1/13,L,AN,29,7,12,20,36,32,0.430555556
805/,2/3/15,L,DG,26,12,22,10,38,32,-0.003289474
805/,2/18/15,L,YE,27,8,12,4,35,16,0.021428571
805/,2/26/15,L,JG,20,17,9,17,37,26,0.194386694
805/,2/11/15,S,YE,26,14,8,11,40,19,0.228947368
805/,2/26/15,S,JG,22,15,15,13,37,28,0.058880309
805/,3/4/15,S,AZ,16,15,17,12,31,29,-0.070077864
805/,3/11/15,S,AZ,21,16,18,12,37,30,-0.032432432
808/,7/1/14,L,SF,21,19,14,13,40,27,0.006481481
808/,7/9/14,L,AS,18,23,5,9,41,14,0.081881533
808/,7/18/14,L,AS,13,16,2,8,29,10,0.248275862
808/,8/5/14,L,AZ,6,8,3,4,14,7,0
808/,8/12/14,L,AS,19,11,10,12,30,22,0.178787879
808/,8/20/14,L,AS,16,14,14,10,30,24,-0.05
808/,8/26/14,L,AS,26,11,17,17,37,34,0.202702703
808/,7/1/14,S,SF,26,9,12,11,35,23,0.221118012
808/,7/9/14,S,AS,25,14,9,8,39,17,0.111613876
808/,7/18/14,S,AS,23,16,12,17,39,29,0.175950486
812/,10/13/14,L,DG,27,19,10,21,46,31,0.264375877
812/,11/26/14,L,JG,24,19,11,13,43,24,0.099806202
812/,12/12/14,L,DG,23,15,17,16,38,33,0.090111643
812/,9/2/13,S,MK,35,11,10,20,46,30,0.427536232
812/,11/14/13,S,AR,38,7,15,13,45,28,0.308730159
812/,11/26/14,S,JG,30,14,20,14,44,34,0.093582888
818/,2/7/13,L,KA,34,12,22,14,46,36,0.128019324
818/,6/28/13,L,AN,31,8,20,15,39,35,0.223443223
818/,9/16/13,L,MK,24,26,15,19,50,34,0.038823529
818/,3/11/13,S,KL,19,10,16,5,29,21,-0.106732348
818/,6/28/13,S,AN,31,11,9,14,42,23,0.34679089
818/,7/5/13,S,AN,33,13,14,15,46,29,0.234632684
821/,8/15/12,L,SL,21,15,8,11,36,19,0.162280702
821/,6/17/13,L,SL,22,13,5,5,35,10,0.128571429
821/,6/19/13,L,MK,33,13,19,15,46,34,0.158567775
821/,7/31/12,S,EN,31,5,6,21,36,27,0.638888889
821/,6/17/13,S,SL,11,15,7,4,26,11,-0.213286713
821/,6/19/13,S,MK,36,12,21,18,48,39,0.211538462
852/,6/5/12,L,NG,31,13,1,1,44,2,0.204545455
852/,7/1/13,L,MK,39,6,18,23,45,41,0.427642276
852/,7/12/13,L,AN,40,8,17,27,48,44,0.446969697
852/,7/29/13,L,MK,28,15,19,21,43,40,0.176162791
852/,6/5/12,S,NG,31,14,9,15,45,24,0.313888889
852/,7/1/13,S,MK,23,20,13,19,43,32,0.128633721
852/,8/26/13,S,MK,25,16,10,28,41,38,0.346598203
852/,8/6/13,L,AN,39,9,20,19,48,39,0.299679487
852/,8/9/13,S,AN,32,10,20,11,42,31,0.116743472
855/,10/16/13,L,KA,35,8,16,11,43,27,0.221360896
855/,10/25/13,L,DG,27,20,14,24,47,38,0.206047032
855/,10/31/13,L,AN,35,7,14,13,42,27,0.314814815
855/,10/16/13,S,KA,35,9,22,14,44,36,0.184343434
855/,10/31/13,S,AN,29,18,10,12,47,22,0.162475822
855/,11/5/13,S,DG,40,6,11,29,46,40,0.594565217
859/,2/24/15,L,AN,10,14,7,8,24,15,-0.05
859/,3/18/15,L,JG,42,6,23,14,48,37,0.253378378
859/,4/2/15,L,KS,22,10,10,11,32,21,0.211309524
859/,2/23/15,S,LH,18,9,14,17,27,31,0.215053763
859/,3/6/15,S,BY,10,8,14,9,18,23,-0.053140097
859/,3/18/15,S,JG,37,6,11,7,43,18,0.249354005
861/,3/5/15,L,KS,11,5,2,6,16,8,0.4375
861/,4/8/15,L,AZ,21,11,12,19,32,31,0.269153226
861/,4/29/15,L,AZ,22,16,9,11,38,20,0.128947368
861/,5/22/15,L,JG,40,6,16,14,46,30,0.336231884
861/,2/4/15,S,YE,24,12,21,13,36,34,0.049019608
861/,3/5/15,S,KS,12,17,9,12,29,21,-0.014778325
861/,4/15/15,S,AZ,22,17,20,15,39,35,-0.007326007
879/,7/3/14,L,SF,20,18,22,18,38,40,-0.023684211
879/,7/14/14,L,AS,22,9,11,15,31,26,0.286600496
879/,7/29/14,L,AS,23,15,16,16,38,32,0.105263158
879/,7/14/14,S,AS,24,20,12,10,44,22,0
879/,8/15/14,S,JG,35,11,22,18,46,40,0.210869565
879/,8/21/14,S,AS,16,12,12,10,28,22,0.025974026
882/,1/30/14,L,GM,41,20,21,19,61,40,0.147131148
882/,2/20/14,L,GM,24,16,9,8,40,17,0.070588235
882/,2/26/14,L,JG,29,16,18,10,45,28,0.001587302
882/,8/26/14,L,AS,31,12,20,21,43,41,0.233125355
882/,1/30/14,S,GM,32,16,10,11,48,21,0.19047619
882/,2/20/14,S,GM,22,18,14,17,40,31,0.098387097
882/,2/26/14,S,JG,26,13,3,7,39,10,0.366666667
882/,9/9/14,S,AS,27,12,10,12,39,22,0.237762238
882/,9/29/14,S,YE,14,17,10,21,31,31,0.129032258
908/,6/3/14,L,EN,27,16,27,17,43,44,0.014270613
908/,6/25/14,L,EN,31,12,18,12,43,30,0.120930233
908/,7/3/14,L,SF,27,16,19,20,43,39,0.14072749
908/,6/3/14,S,EN,30,9,19,14,39,33,0.193473193
908/,6/19/14,S,EN,28,12,12,5,40,17,-0.005882353
908/,6/25/14,S,EN,23,15,16,11,38,27,0.012670565
91/,11/13/14,L,AZ,28,16,14,20,44,34,0.22459893
91/,11/19/14,L,AN,28,13,16,14,41,30,0.149593496
91/,12/11/14,L,KS,16,17,7,13,33,20,0.134848485
91/,11/6/14,S,AZ,27,16,11,19,43,30,0.26124031
91/,11/13/14,S,AZ,30,9,15,11,39,26,0.192307692
91/,11/19/14,S,AN,36,8,10,3,44,13,0.048951049
91/,11/24/14,S,JG,29,12,14,12,41,26,0.168855535
93/,4/10/13,L,KA,21,13,5,8,34,13,0.233031674
93/,4/25/13,L,KA,32,14,17,20,46,37,0.236192714
93/,5/15/13,L,AR,25,20,19,15,45,34,-0.003267974
93/,2/8/13,S,KL,18,10,8,7,28,15,0.10952381
93/,3/11/13,S,KL,28,15,7,18,43,25,0.371162791
93/,4/10/13,S,AR,40,1,23,10,41,33,0.278640059
93/,4/25/13,S,KA,29,14,23,16,43,39,0.084675015