sex,Id,Strain,Repl,Sex,CS,Log CS
F,A_01,208,208.1,F,1363.264,7.218
F,A_02,208,208.1,F,1349.795,7.208
F,A_03,208,208.1,F,1320.068,7.185
F,A_04,208,208.1,F,1366.17,7.22
F,A_05,208,208.1,F,1340.447,7.201
M,A_01,208,208.1,M,1194.868,7.086
M,A_02,208,208.1,M,1150.933,7.048
M,A_03,208,208.1,M,1172.906,7.067
M,A_04,208,208.1,M,1170.967,7.066
M,A_05,208,208.1,M,1197.292,7.088
F,A_01,208,208.2,F,1359.544,7.215
F,A_02,208,208.2,F,1347.103,7.206
F,A_04,208,208.2,F,1352.004,7.209
F,A_05,208,208.2,F,1359.241,7.215
M,A_01,208,208.2,M,1172.385,7.067
M,A_02,208,208.2,M,1165.468,7.061
M,A_03,208,208.2,M,1106.495,7.009
M,A_04,208,208.2,M,1138.075,7.037
M,A_05,208,208.2,M,1171.882,7.066
F,A_01,208,208.3,F,1256.261,7.136
F,A_02,208,208.3,F,1341.721,7.202
F,A_03,208,208.3,F,1323.861,7.188
F,A_04,208,208.3,F,1318.969,7.185
F,A_05,208,208.3,F,1302.782,7.172
M,A_01,208,208.3,M,1124.172,7.025
M,A_02,208,208.3,M,1162.024,7.058
M,A_03,208,208.3,M,1189.756,7.082
M,A_05,208,208.3,M,1174.563,7.069
F,A_01,208,208.4,F,1303.83,7.173
F,A_02,208,208.4,F,1308.691,7.177
F,A_03,208,208.4,F,1336.41,7.198
F,A_04,208,208.4,F,1302.078,7.172
M,A_01,208,208.4,M,1157.67,7.054
M,A_02,208,208.4,M,1142.844,7.041
M,A_03,208,208.4,M,1165.889,7.061
M,A_04,208,208.4,M,1148.514,7.046
M,A_05,208,208.4,M,1157.755,7.054
F,A_01,301,301.1,F,1335.118,7.197
F,A_02,301,301.1,F,1303.547,7.172
F,A_03,301,301.1,F,1272.625,7.147
F,A_04,301,301.1,F,1348.616,7.207
F,A_05,301,301.1,F,1324.046,7.188
M,A_01,301,301.1,M,1166.214,7.061
M,A_02,301,301.1,M,1147.147,7.045
M,A_03,301,301.1,M,1164.889,7.06
M,A_04,301,301.1,M,1150.987,7.048
M,A_05,301,301.1,M,1152.633,7.05
M,A_06,301,301.1,M,1114.473,7.016
F,A_01,301,301.2,F,1310.685,7.178
F,A_02,301,301.2,F,1312.559,7.179
F,A_03,301,301.2,F,1365.933,7.219
F,A_04,301,301.2,F,1334.864,7.196
F,A_05,301,301.2,F,1289.282,7.162
M,A_01,301,301.2,M,1130.261,7.03
M,A_02,301,301.2,M,1136.957,7.036
M,A_03,301,301.2,M,1126.256,7.027
M,A_04,301,301.2,M,1170.603,7.065
M,A_05,301,301.2,M,1161.578,7.058
F,A_01,301,301.3,F,1288.135,7.16
F,A_02,301,301.3,F,1296.241,7.167
F,A_03,301,301.3,F,1259.886,7.139
F,A_04,301,301.3,F,1320.156,7.185
F,A_05,301,301.3,F,1317.52,7.183
M,A_01,301,301.3,M,1152.323,7.049
M,A_02,301,301.3,M,1131.927,7.032
M,A_03,301,301.3,M,1126.486,7.027
M,A_04,301,301.3,M,1114.322,7.016
M,A_05,301,301.3,M,1140.565,7.039
F,A_01,301,301.4,F,1308.942,7.177
F,A_02,301,301.4,F,1308.86,7.177
F,A_03,301,301.4,F,1313.599,7.18
F,A_04,301,301.4,F,1308.387,7.175
F,A_05,301,301.4,F,1312.416,7.179
M,A_01,301,301.4,M,1143.24,7.042
M,A_02,301,301.4,M,1109.434,7.011
M,A_03,301,301.4,M,1160.113,7.056
M,A_04,301,301.4,M,1094.675,6.998
M,A_05,301,301.4,M,1143.095,7.041
F,A_01,303,303.1,F,1327.809,7.191
F,A_02,303,303.1,F,1302.749,7.172
F,A_03,303,303.1,F,1313.708,7.181
F,A_04,303,303.1,F,1290.442,7.163
M,A_01,303,303.1,M,1090.29,6.994
M,A_02,303,303.1,M,1110.338,7.012
M,A_03,303,303.1,M,1120.546,7.022
M,A_04,303,303.1,M,1085.009,6.989
M,A_05,303,303.1,M,1085.889,6.99
F,A_01,303,303.2,F,1202.018,7.092
F,A_02,303,303.2,F,1257.381,7.137
F,A_03,303,303.2,F,1296.496,7.167
F,A_04,303,303.2,F,1336.301,7.198
F,A_05,303,303.2,F,1233.477,7.118
M,A_01,303,303.2,M,1131.094,7.031
M,A_02,303,303.2,M,1089.964,6.994
M,A_03,303,303.2,M,1110.711,7.013
M,A_04,303,303.2,M,1067.46,6.973
M,A_05,303,303.2,M,1129.417,7.029
F,A_01,303,303.3,F,1282.148,7.156
F,A_02,303,303.3,F,1302.502,7.172
F,A_03,303,303.3,F,1302.033,7.172
F,A_04,303,303.3,F,1313.238,7.18
F,A_05,303,303.3,F,1303.337,7.173
M,A_01,303,303.3,M,1148.752,7.046
M,A_02,303,303.3,M,1111.42,7.013
M,A_03,303,303.3,M,1135.068,7.034
M,A_04,303,303.3,M,1133.464,7.033
M,A_05,303,303.3,M,1154.069,7.051
F,A_01,303,303.4,F,1244.244,7.126
F,A_02,303,303.4,F,1284.671,7.158
F,A_03,303,303.4,F,1310.45,7.178
F,A_04,303,303.4,F,1298.058,7.169
F,A_05,303,303.4,F,1287.078,7.16
M,A_01,303,303.4,M,1165.108,7.061
M,A_02,303,303.4,M,1149.894,7.047
M,A_03,303,303.4,M,959.376,6.866
M,A_04,303,303.4,M,1104.873,7.007
M,A_05,303,303.4,M,1141.321,7.04
F,A_01,304,304.1,F,1354.565,7.211
F,A_02,304,304.1,F,1366.467,7.22
F,A_03,304,304.1,F,1358.21,7.214
F,A_04,304,304.1,F,1352.304,7.21
F,A_05,304,304.1,F,1357.982,7.214
F,A_07,304,304.1,F,1374.405,7.226
M,A_01,304,304.1,M,1153.862,7.051
M,A_02,304,304.1,M,1096.591,7
M,A_03,304,304.1,M,1141.414,7.04
M,A_04,304,304.1,M,1165.316,7.061
M,A_05,304,304.1,M,1163.191,7.059
F,A_01,304,304.2,F,1363.164,7.218
F,A_02,304,304.2,F,1319.387,7.185
F,A_03,304,304.2,F,1360.276,7.215
F,A_04,304,304.2,F,1362.916,7.217
F,A_05,304,304.2,F,1336.69,7.198
M,A_01,304,304.2,M,1141.546,7.04
M,A_02,304,304.2,M,1154.072,7.051
M,A_03,304,304.2,M,1084.533,6.989
M,A_04,304,304.2,M,1129.913,7.03
M,A_05,304,304.2,M,1143.998,7.042
F,A_01,304,304.3,F,1293.448,7.165
F,A_02,304,304.3,F,1373.24,7.225
F,A_03,304,304.3,F,1357.344,7.213
F,A_05,304,304.3,F,1305.358,7.174
M,A_02,304,304.3,M,1161.666,7.058
M,A_03,304,304.3,M,1150.134,7.048
M,A_05,304,304.3,M,1175.612,7.07
F,A_01,304,304.4,F,1355.09,7.212
F,A_02,304,304.4,F,1331.148,7.194
F,A_03,304,304.4,F,1328.681,7.192
F,A_04,304,304.4,F,1319.213,7.185
F,A_05,304,304.4,F,1336.146,7.198
M,A_01,304,304.4,M,1172.439,7.067
M,A_02,304,304.4,M,1179.171,7.073
M,A_03,304,304.4,M,1174.805,7.069
M,A_04,304,304.4,M,1162.314,7.058
M,A_05,304,304.4,M,1155.894,7.053
F,A_01,306,306.1,F,1364.631,7.219
F,A_02,306,306.1,F,1376.051,7.227
F,A_03,306,306.1,F,1355.068,7.212
F,A_04,306,306.1,F,1354.801,7.211
F,A_05,306,306.1,F,1284.432,7.158
M,A_01,306,306.1,M,1057.309,6.963
M,A_02,306,306.1,M,1171.21,7.066
M,A_03,306,306.1,M,1176.138,7.07
M,A_04,306,306.1,M,1151.734,7.049
M,A_05,306,306.1,M,1192.023,7.083
F,A_01,306,306.2,F,1362.319,7.217
F,A_02,306,306.2,F,1283.34,7.157
F,A_03,306,306.2,F,1367.798,7.221
F,A_04,306,306.2,F,1342.82,7.203
F,A_05,306,306.2,F,1314.094,7.181
M,A_01,306,306.2,M,1197.334,7.088
M,A_02,306,306.2,M,1160.896,7.057
M,A_03,306,306.2,M,1140.774,7.039
M,A_04,306,306.2,M,1176.204,7.07
M,A_05,306,306.2,M,1156.585,7.053
F,A_01,306,306.3,F,1320.065,7.185
F,A_02,306,306.3,F,1302.641,7.172
F,A_03,306,306.3,F,1311.647,7.179
F,A_04,306,306.3,F,1289.4,7.162
F,A_05,306,306.3,F,1320.291,7.186
F,A_06,306,306.3,F,1333.572,7.196
M,A_01,306,306.3,M,1193.844,7.085
M,A_02,306,306.3,M,1123.234,7.024
M,A_03,306,306.3,M,1169.334,7.064
M,A_04,306,306.3,M,1194.669,7.086
M,A_05,306,306.3,M,1146.676,7.045
F,A_01,306,306.4,F,1319.898,7.185
F,A_02,306,306.4,F,1270.877,7.147
F,A_04,306,306.4,F,1346.594,7.205
M,A_01,306,306.4,M,1143.096,7.041
M,A_02,306,306.4,M,1177.755,7.071
M,A_03,306,306.4,M,1184.474,7.077
M,A_04,306,306.4,M,1160.445,7.057
M,A_05,306,306.4,M,1148.893,7.047
F,A_01,307,307.1,F,1240.069,7.123
F,A_02,307,307.1,F,1225.111,7.111
F,A_03,307,307.1,F,1188.008,7.08
F,A_04,307,307.1,F,1201.006,7.091
F,A_05,307,307.1,F,1208.899,7.097
M,A_01,307,307.1,M,1063.516,6.969
M,A_02,307,307.1,M,1069.59,6.975
M,A_03,307,307.1,M,1086.099,6.99
M,A_04,307,307.1,M,1061.678,6.968
F,A_01,307,307.2,F,1219.673,7.106
F,A_02,307,307.2,F,1219.505,7.106
F,A_03,307,307.2,F,1215.725,7.103
F,A_04,307,307.2,F,1224.547,7.11
F,A_05,307,307.2,F,1203.219,7.093
M,A_01,307,307.2,M,1024.39,6.932
M,A_02,307,307.2,M,1066.31,6.972
M,A_03,307,307.2,M,1067.801,6.973
F,A_01,307,307.3,F,1234.449,7.118
F,A_02,307,307.3,F,1226.831,7.112
F,A_03,307,307.3,F,1247.318,7.129
F,A_05,307,307.3,F,1225.081,7.111
M,A_01,307,307.3,M,1061.699,6.968
M,A_02,307,307.3,M,1076.271,6.981
M,A_03,307,307.3,M,1033.509,6.941
M,A_04,307,307.3,M,1051.096,6.958
M,A_05,307,307.3,M,1079.519,6.984
M,A_06,307,307.3,M,1061.117,6.967
F,A_01,307,307.4,F,1216.423,7.104
F,A_02,307,307.4,F,1236.967,7.12
F,A_03,307,307.4,F,1212.023,7.1
F,A_04,307,307.4,F,1234.738,7.119
F,A_05,307,307.4,F,1248.704,7.13
M,A_01,307,307.4,M,845.521,6.74
M,A_02,307,307.4,M,1036.993,6.944
M,A_03,307,307.4,M,1080.257,6.985
M,A_04,307,307.4,M,1047.384,6.954
M,A_05,307,307.4,M,1053.021,6.959
F,A_01,313,313.1,F,1188.188,7.08
F,A_02,313,313.1,F,1194.597,7.086
F,A_03,313,313.1,F,1193.778,7.085
F,A_04,313,313.1,F,1188.81,7.081
F,A_05,313,313.1,F,1174.278,7.068
F,A_06,313,313.1,F,1164.808,7.06
M,A_01,313,313.1,M,1026.616,6.934
M,A_02,313,313.1,M,1025.245,6.933
M,A_03,313,313.1,M,1020.362,6.928
M,A_04,313,313.1,M,1026.59,6.934
M,A_05,313,313.1,M,1013.807,6.921
F,A_01,313,313.2,F,1185.533,7.078
F,A_02,313,313.2,F,1102.514,7.005
F,A_03,313,313.2,F,1210.064,7.098
F,A_04,313,313.2,F,1182.99,7.076
F,A_05,313,313.2,F,1189.451,7.081
M,A_01,313,313.2,M,964.574,6.872
M,A_03,313,313.2,M,989.191,6.897
M,A_05,313,313.2,M,1020.583,6.928
M,A_06,313,313.2,M,985.618,6.893
F,A_01,313,313.3,F,1189.819,7.082
F,A_02,313,313.3,F,1187.488,7.08
F,A_03,313,313.3,F,1217.341,7.104
F,A_04,313,313.3,F,1101.938,7.005
F,A_05,313,313.3,F,1190.078,7.082
F,A_06,313,313.3,F,1188.373,7.08
M,A_01,313,313.3,M,1004.569,6.912
M,A_02,313,313.3,M,996.128,6.904
M,A_03,313,313.3,M,1021.57,6.929
M,A_04,313,313.3,M,1007.768,6.915
M,A_05,313,313.3,M,881.6,6.782
F,A_01,313,313.4,F,1199.387,7.09
F,A_02,313,313.4,F,1109.261,7.011
F,A_03,313,313.4,F,1188.779,7.081
M,A_02,313,313.4,M,827.164,6.718
M,A_03,313,313.4,M,899.052,6.801
M,A_04,313,313.4,M,1007.817,6.916
M,A_05,313,313.4,M,1023.962,6.931
F,A_01,315,315.1,F,1325.834,7.19
F,A_02,315,315.1,F,1393.771,7.24
F,A_03,315,315.1,F,1371.561,7.224
F,A_04,315,315.1,F,1357.757,7.214
F,A_05,315,315.1,F,1370.504,7.223
M,A_01,315,315.1,M,1193.537,7.085
M,A_02,315,315.1,M,1187.491,7.08
M,A_05,315,315.1,M,1143.189,7.042
F,A_01,315,315.2,F,1352.885,7.21
F,A_03,315,315.2,F,1341.255,7.201
F,A_04,315,315.2,F,1404.928,7.248
F,A_05,315,315.2,F,1396.702,7.242
M,A_01,315,315.2,M,1159.328,7.056
M,A_02,315,315.2,M,1114.033,7.016
M,A_03,315,315.2,M,1167.512,7.063
M,A_04,315,315.2,M,1186.516,7.079
M,A_05,315,315.2,M,1139.617,7.038
F,A_01,315,315.3,F,1359.379,7.215
F,A_02,315,315.3,F,1392.922,7.239
F,A_03,315,315.3,F,1339.377,7.2
F,A_04,315,315.3,F,1386.95,7.235
F,A_05,315,315.3,F,1341.175,7.201
M,A_01,315,315.3,M,1187.884,7.08
M,A_02,315,315.3,M,1177.459,7.071
M,A_05,315,315.3,M,1137.418,7.037
F,A_01,315,315.4,F,1376.222,7.227
F,A_02,315,315.4,F,1368.205,7.221
F,A_03,315,315.4,F,1345.601,7.205
F,A_04,315,315.4,F,1381.369,7.231
F,A_05,315,315.4,F,1347.327,7.206
M,A_01,315,315.4,M,1210.341,7.099
M,A_03,315,315.4,M,1106.509,7.009
M,A_04,315,315.4,M,1191.959,7.083
M,A_05,315,315.4,M,1177.264,7.071
F,A_01,324,324.1,F,1177.487,7.071
F,A_02,324,324.1,F,1156.627,7.053
F,A_03,324,324.1,F,1158.014,7.054
F,A_04,324,324.1,F,1310.748,7.178
F,A_05,324,324.1,F,1180.562,7.074
M,A_01,324,324.1,M,949.958,6.856
M,A_02,324,324.1,M,1018.967,6.927
M,A_03,324,324.1,M,1009.495,6.917
M,A_04,324,324.1,M,1003.344,6.911
M,A_05,324,324.1,M,1015.543,6.923
F,A_01,324,324.2,F,1175.08,7.069
F,A_02,324,324.2,F,1152.012,7.049
F,A_03,324,324.2,F,1188.117,7.08
F,A_04,324,324.2,F,1172.841,7.067
M,A_01,324,324.2,M,1015.32,6.923
M,A_02,324,324.2,M,1014.922,6.923
M,A_03,324,324.2,M,1016.853,6.924
M,A_04,324,324.2,M,999.61,6.907
M,A_05,324,324.2,M,1015.907,6.924
F,A_01,324,324.3,F,1129.14,7.029
F,A_02,324,324.3,F,1143.568,7.042
F,A_03,324,324.3,F,1133.219,7.033
F,A_04,324,324.3,F,1116.97,7.018
F,A_05,324,324.3,F,1111.148,7.013
M,A_01,324,324.3,M,979.008,6.887
M,A_02,324,324.3,M,994.67,6.902
M,A_03,324,324.3,M,965.749,6.873
M,A_04,324,324.3,M,982.863,6.89
M,A_05,324,324.3,M,976.972,6.884
F,A_01,324,324.4,F,1092.424,6.996
F,A_02,324,324.4,F,1147.175,7.045
F,A_03,324,324.4,F,1147.194,7.045
F,A_04,324,324.4,F,1127.478,7.028
F,A_05,324,324.4,F,1145.86,7.044
M,A_01,324,324.4,M,998.358,6.906
M,A_02,324,324.4,M,963.379,6.87
M,A_03,324,324.4,M,975.706,6.883
M,A_04,324,324.4,M,978.141,6.886
M,A_05,324,324.4,M,967.071,6.874
F,A _0,335,335.1,F,1333.61,7.196
F,A _1,335,335.1,F,1360.402,7.216
F,A_01,335,335.1,F,1360.221,7.215
F,A_02,335,335.1,F,1335.178,7.197
F,A_03,335,335.1,F,1327.146,7.191
M,A_01,335,335.1,M,1100.633,7.004
M,A_02,335,335.1,M,1055.06,6.961
M,A_03,335,335.1,M,1097.8,7.001
M,A_04,335,335.1,M,1098.765,7.002
M,A_05,335,335.1,M,1096.433,7
F,A _0,335,335.2,F,1330.833,7.194
F,A_03,335,335.2,F,1320.729,7.186
F,A_04,335,335.2,F,1334.115,7.196
F,A_05,335,335.2,F,1293.639,7.165
F,A_06,335,335.2,F,1298.381,7.169
M,A_01,335,335.2,M,1107.747,7.01
M,A_02,335,335.2,M,1110.749,7.013
M,A_03,335,335.2,M,1112.295,7.014
M,A_04,335,335.2,M,1100.763,7.004
M,A_05,335,335.2,M,1110.382,7.012
F,A _0,335,335.3,F,1309.719,7.178
F,A_01,335,335.3,F,1291.461,7.163
F,A_03,335,335.3,F,1295.228,7.166
F,A_04,335,335.3,F,1297.332,7.168
F,A_05,335,335.3,F,1295.371,7.167
M,A_02,335,335.3,M,1135.338,7.035
M,A_03,335,335.3,M,1125.052,7.026
M,A_04,335,335.3,M,1144.076,7.042
M,A_05,335,335.3,M,1145.937,7.044
F,A_02,335,335.4,F,1229.431,7.114
F,A_03,335,335.4,F,1314.639,7.181
F,A_05,335,335.4,F,1239.516,7.122
M,A_01,335,335.4,M,1151.066,7.048
M,A_02,335,335.4,M,1138.405,7.037
M,A_03,335,335.4,M,1150.192,7.048
M,A_04,335,335.4,M,1139.017,7.038
M,A_05,335,335.4,M,1145.068,7.043
F,A_01,357,357.1,F,1338.701,7.199
F,A_02,357,357.1,F,1311.071,7.179
F,A_03,357,357.1,F,1273.389,7.149
F,A_04,357,357.1,F,1334.879,7.197
F,A_05,357,357.1,F,1297.011,7.168
M,A_01,357,357.1,M,1179.389,7.073
M,A_02,357,357.1,M,1122.763,7.024
M,A_03,357,357.1,M,1184.448,7.077
M,A_04,357,357.1,M,1129.623,7.03
M,A_05,357,357.1,M,1131.65,7.031
F,A_01,357,357.2,F,1222.129,7.108
F,A_02,357,357.2,F,1374.523,7.226
F,A_03,357,357.2,F,1257.448,7.137
F,A_04,357,357.2,F,1229.472,7.114
F,A_05,357,357.2,F,1288.543,7.161
M,A_01,357,357.2,M,1146.751,7.045
M,A_02,357,357.2,M,1127.453,7.028
M,A_03,357,357.2,M,1103.111,7.006
M,A_04,357,357.2,M,1129.817,7.03
M,A_05,357,357.2,M,1166.347,7.062
F,A_01,357,357.3,F,1171.011,7.065
F,A_02,357,357.3,F,1334.993,7.197
F,A_03,357,357.3,F,1331.652,7.194
F,A_04,357,357.3,F,1362.506,7.217
F,A_05,357,357.3,F,1238.148,7.121
M,A_01,357,357.3,M,1163.848,7.059
M,A_02,357,357.3,M,1172.815,7.067
M,A_03,357,357.3,M,1157.486,7.054
M,A_04,357,357.3,M,1198.698,7.089
M,A_05,357,357.3,M,1084.448,6.989
F,A_01,357,357.4,F,1369.143,7.222
F,A_02,357,357.4,F,1313.125,7.18
F,A_03,357,357.4,F,1249.659,7.131
F,A_04,357,357.4,F,1281.782,7.156
M,A_01,357,357.4,M,1187.871,7.08
M,A_02,357,357.4,M,1129.245,7.029
M,A_03,357,357.4,M,1132.701,7.032
M,A_04,357,357.4,M,1141.64,7.04
M,A_05,357,357.4,M,1126.865,7.027
F,A_01,358,358.1,F,1348.228,7.207
F,A_02,358,358.1,F,1349.555,7.208
F,A_03,358,358.1,F,1348.329,7.207
F,A_04,358,358.1,F,1415.4,7.255
F,A_05,358,358.1,F,1334.794,7.197
M,A_01,358,358.1,M,1122.167,7.023
M,A_02,358,358.1,M,1075.681,6.981
M,A_03,358,358.1,M,1102.17,7.005
M,A_04,358,358.1,M,1152.36,7.05
M,A_05,358,358.1,M,1134.313,7.034
F,A_01,358,358.2,F,1326.721,7.19
F,A_02,358,358.2,F,1356.111,7.212
F,A_03,358,358.2,F,1314.846,7.181
F,A_04,358,358.2,F,1375.903,7.227
F,A_05,358,358.2,F,1340.22,7.201
M,A_01,358,358.2,M,1125.359,7.026
M,A_02,358,358.2,M,1106.2,7.009
M,A_03,358,358.2,M,1104.829,7.007
M,A_04,358,358.2,M,1104.78,7.007
M,A_05,358,358.2,M,1133.701,7.033
F,A_01,358,358.3,F,1362.526,7.217
F,A_02,358,358.3,F,1377.965,7.228
F,A_03,358,358.3,F,1378.465,7.229
F,A_04,358,358.3,F,1398.488,7.243
F,A_05,358,358.3,F,1364.155,7.218
M,A_01,358,358.3,M,1156.616,7.053
M,A_02,358,358.3,M,1158.079,7.055
M,A_03,358,358.3,M,1148.596,7.046
M,A_04,358,358.3,M,1103.622,7.006
M,A_05,358,358.3,M,1150.698,7.048
F,A_01,358,358.4,F,1330.02,7.193
F,A_03,358,358.4,F,1317.256,7.183
F,A_04,358,358.4,F,1341.585,7.202
F,A_05,358,358.4,F,1334.781,7.197
F,A_06,358,358.4,F,1339.909,7.2
M,A_01,358,358.4,M,1166.221,7.062
M,A_02,358,358.4,M,1117.495,7.019
M,A_03,358,358.4,M,1099.543,7.003
M,A_04,358,358.4,M,1055.937,6.962
M,A_05,358,358.4,M,1104.51,7.007
F,A_01,360,360.1,F,1339.707,7.2
F,A_02,360,360.1,F,1313.019,7.18
F,A_03,360,360.1,F,1315.658,7.182
F,A_04,360,360.1,F,1360.414,7.216
F,A_05,360,360.1,F,1308.031,7.176
M,A_01,360,360.1,M,1207.961,7.097
M,A_02,360,360.1,M,1161.211,7.057
M,A_03,360,360.1,M,1181.646,7.075
M,A_05,360,360.1,M,1205.695,7.095
F,A_01,360,360.2,F,1349.653,7.208
F,A_02,360,360.2,F,1386.265,7.234
F,A_03,360,360.2,F,1326.988,7.191
F,A_04,360,360.2,F,1329.631,7.193
F,A_05,360,360.2,F,1333.731,7.196
M,A_01,360,360.2,M,1163.994,7.06
M,A_02,360,360.2,M,1177.749,7.071
M,A_03,360,360.2,M,1140.795,7.039
M,A_04,360,360.2,M,1166.96,7.062
M,A_05,360,360.2,M,1209.432,7.098
F,A_01,360,360.3,F,1333.348,7.195
F,A_02,360,360.3,F,1337.545,7.199
F,A_03,360,360.3,F,1368.184,7.221
F,A_04,360,360.3,F,1384.084,7.233
F,A_05,360,360.3,F,1361.052,7.216
M,A_01,360,360.3,M,1181.224,7.074
M,A_02,360,360.3,M,1164.471,7.06
M,A_04,360,360.3,M,1191.362,7.083
M,A_05,360,360.3,M,1163.806,7.059
F,A_01,360,360.4,F,1364.208,7.218
F,A_03,360,360.4,F,1297.059,7.168
F,A_04,360,360.4,F,1328.735,7.192
F,A_05,360,360.4,F,1326.602,7.19
M,A_01,360,360.4,M,1197.407,7.088
M,A_02,360,360.4,M,1169.473,7.064
M,A_03,360,360.4,M,1190.775,7.082
M,A_04,360,360.4,M,1139.475,7.038
M,A_05,360,360.4,M,1162.939,7.059
F,A_01,362,362.1,F,1323.372,7.188
F,A_02,362,362.1,F,1332.33,7.195
F,A_03,362,362.1,F,1293.376,7.165
F,A_04,362,362.1,F,1287.865,7.161
F,A_05,362,362.1,F,1300.474,7.17
M,A_01,362,362.1,M,1078.769,6.984
M,A_02,362,362.1,M,1091.462,6.995
M,A_03,362,362.1,M,1086.652,6.991
M,A_05,362,362.1,M,1048.746,6.955
F,A_01,362,362.2,F,1255.36,7.135
F,A_02,362,362.2,F,1299.089,7.169
F,A_03,362,362.2,F,1272.65,7.149
F,A_04,362,362.2,F,1323.554,7.188
M,A_02,362,362.2,M,1077.542,6.982
